Cas36195	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.798498	-0.332869	-0.798498	-0.332869	323.233	4491.63	507.719	1	1	350	2631.86	1	1	-1	1	-28.9606	-28.9606
1	-0.686799	-0.399388	-0.686799	-0.399388	528.283	5100.62	182.196	1	1	350	3282.06	1	1	-1	1	34.9239	34.9239
1	-0.674637	-0.198866	-0.674637	-0.198866	352.514	4362.94	411.4	1	1	350	3473.75	1	1	-1	1	-5.57958	-5.57958
1	-0.855061	-0.352296	-0.855061	-0.352296	462.343	3854.11	414.114	1	1	350	3676.29	1	1	-1	1	-26.0198	-26.0198
1	-0.79485	-0.327835	-0.79485	-0.327835	365.23	2861.63	434.995	1	1	350	3786.85	1	1	-1	1	46.6224	46.6224
1	-0.907919	-0.21942	-0.907919	-0.21942	324.168	4314.78	362.132	1	1	350	4254.04	1	1	-1	1	-8.79881	-8.79881
1	-0.811826	-0.552153	-0.811826	-0.552153	326.283	3693.41	433.818	1	1	350	6102.63	1	1	-1	1	-21.6069	-21.6069
1	-0.778299	-0.420725	-0.778299	-0.420725	254.896	4221.52	344.591	1	1	350	3163.6	1	1	-1	1	-11.2244	-11.2244
1	-0.904484	-0.421727	-0.904484	-0.421727	552.075	4874.58	425.53	1	1	350	3332.32	1	1	-1	1	-30.7103	-30.7103
1	-0.658038	-0.42124	-0.658038	-0.42124	155.276	3507.15	514.814	1	1	350	5753.61	1	1	-1	1	-40.2816	-40.2816
1	-0.897015	-0.32607	-0.897015	-0.32607	270.995	3517.74	390.923	1	1	350	6467.04	1	1	-1	1	87.9244	87.9244
1	-0.767383	-0.371845	-0.767383	-0.371845	201.543	3740.81	292.078	1	1	350	3267.13	1	1	-1	1	57.3156	57.3156
1	-0.810231	-0.393503	-0.810231	-0.393503	265.705	4212.6	389.663	1	1	350	2085.98	1	1	-1	1	9.91826	9.91826
1	-0.736566	-0.386369	-0.736566	-0.386369	120.816	6036.94	443.41	1	1	350	4495.82	1	1	-1	1	-45.0984	-45.0984
1	-0.787993	-0.427419	-0.787993	-0.427419	460.219	3127.11	372.978	1	1	350	3295.76	1	1	-1	1	-31.3271	-31.3271
1	-0.780266	-0.310837	-0.780266	-0.310837	404.044	5339.93	566.128	1	1	350	3922.71	1	1	-1	1	-7.10269	-7.10269
1	-0.727909	-0.346643	-0.727909	-0.346643	296.908	3784.57	355.883	1	1	350	3900.14	1	1	-1	1	26.9326	26.9326
1	-0.679064	-0.294458	-0.679064	-0.294458	269.902	4897.9	357.492	1	1	350	4322.43	1	1	-1	1	-47.7316	-47.7316
1	-0.750587	-0.426622	-0.750587	-0.426622	268.202	4059.71	562.967	1	1	350	2691.61	1	1	-1	1	-82.8187	-82.8187
1	-0.839254	-0.542035	-0.839254	-0.542035	372.154	3465.79	429.864	1	1	350	4237.14	1	1	-1	1	-51.8488	-51.8488
1	-0.765042	-0.483439	-0.765042	-0.483439	197.791	3740.8	453.531	1	1	350	3582.58	1	1	-1	1	10.8316	10.8316
1	-0.731292	-0.271294	-0.731292	-0.271294	440.673	4958.87	533.364	1	1	350	2510.17	1	1	-1	1	12.8655	12.8655
1	-0.825476	-0.435713	-0.825476	-0.435713	391.017	5266.79	334.482	1	1	350	3858.08	1	1	-1	1	14.9867	14.9867
1	-0.769619	-0.2695	-0.769619	-0.2695	365.774	4961.02	381.43	1	1	350	2954.02	1	1	-1	1	-5.47646	-5.47646
1	-0.812358	-0.313535	-0.812358	-0.313535	465.223	3436.24	486.949	1	1	350	6864.11	1	1	-1	1	5.56356	5.56356
1	-0.687393	-0.316007	-0.687393	-0.316007	434.574	2711.18	320.334	1	1	350	4050.21	1	1	-1	1	-17.638	-17.638
1	-0.809085	-0.558763	-0.809085	-0.558763	365.531	4400.87	423.886	1	1	350	3901.42	1	1	-1	1	29.4152	29.4152
1	-0.814808	-0.347728	-0.814808	-0.347728	403.079	4527.98	283.659	1	1	350	3769.88	1	1	-1	1	-48.7756	-48.7756
1	-0.819682	-0.458564	-0.819682	-0.458564	386.665	1487.45	450.932	1	1	350	3882.25	1	1	-1	1	15.1045	15.1045
1	-0.614173	-0.236225	-0.614173	-0.236225	337.396	4024.23	623.566	1	1	350	5217.1	1	1	-1	1	-30.7379	-30.7379
1	-0.670484	-0.407624	-0.670484	-0.407624	511.144	6095.56	383.746	1	1	350	2613.4	1	1	-1	1	-12.6707	-12.6707
1	-0.74024	-0.257424	-0.74024	-0.257424	520.217	3811.56	359.773	1	1	350	3232.17	1	1	-1	1	18.5417	18.5417
1	-0.826737	-0.432538	-0.826737	-0.432538	407.238	3355.81	566.109	1	1	350	5013.03	1	1	-1	1	35.6414	35.6414
1	-0.769561	-0.434945	-0.769561	-0.434945	297.325	2992.23	306.2	1	1	350	4470.09	1	1	-1	1	-40.194	-40.194
1	-0.733354	-0.456967	-0.733354	-0.456967	282.703	2189.04	362.341	1	1	350	3806.94	1	1	-1	1	43.4322	43.4322
1	-0.63547	-0.419257	-0.63547	-0.419257	425.1	3510.56	396.721	1	1	350	5353.48	1	1	-1	1	22.3167	22.3167
1	-0.780146	-0.399808	-0.780146	-0.399808	373.538	4301.43	460.7	1	1	350	3900.1	1	1	-1	1	-3.28166	-3.28166
1	-0.797008	-0.265687	-0.797008	-0.265687	318.681	3016.09	291.096	1	1	350	4949.12	1	1	-1	1	-7.75977	-7.75977
1	-0.918453	-0.434221	-0.918453	-0.434221	413.202	4253.47	303.222	1	1	350	3996.85	1	1	-1	1	-8.54688	-8.54688
1	-0.837017	-0.338367	-0.837017	-0.338367	281.535	4787.97	430.444	1	1	350	5790.06	1	1	-1	1	-11.5533	-11.5533
1	-0.707273	-0.552927	-0.707273	-0.552927	434.042	3406.7	381.086	1	1	350	4828.89	1	1	-1	1	-0.0850258	-0.0850258
1	-0.885788	-0.419639	-0.885788	-0.419639	240.791	4492.2	232.399	1	1	350	4651.64	1	1	-1	1	0.908122	0.908122
1	-0.705351	-0.401266	-0.705351	-0.401266	154.624	4565.48	227.64	1	1	350	3144.14	1	1	-1	1	28.1508	28.1508
1	-0.761224	-0.35841	-0.761224	-0.35841	379.188	3957.19	226.787	1	1	350	3559.62	1	1	-1	1	52.7965	52.7965
1	-0.725757	-0.430956	-0.725757	-0.430956	301.807	5956.45	401.981	1	1	350	4384.79	1	1	-1	1	15.5224	15.5224
1	-0.878857	-0.400045	-0.878857	-0.400045	553.112	2727.8	445.313	1	1	350	4289.1	1	1	-1	1	-8.26935	-8.26935
1	-0.768817	-0.251226	-0.768817	-0.251226	537.267	4275.07	466.707	1	1	350	2573.43	1	1	-1	1	21.0877	21.0877
1	-0.813715	-0.2857	-0.813715	-0.2857	338.788	3073.26	293.801	1	1	350	4276.81	1	1	-1	1	5.54732	5.54732
1	-0.762915	-0.423537	-0.762915	-0.423537	303.326	3278.24	198.916	1	1	350	4353.64	1	1	-1	1	-37.1043	-37.1043
1	-0.775193	-0.371132	-0.775193	-0.371132	378.36	4440.97	459.223	1	1	350	2233.59	1	1	-1	1	32.4814	32.4814
1	-0.792166	-0.383127	-0.792166	-0.383127	368.392	5092.89	391.579	1	1	350	2848.75	1	1	-1	1	9.90162	9.90162
1	-0.802357	-0.542699	-0.802357	-0.542699	538.532	4170.1	398.225	1	1	350	5461.33	1	1	-1	1	3.85769	3.85769
1	-0.771164	-0.411799	-0.771164	-0.411799	365.17	5304.85	359.39	1	1	350	3455.79	1	1	-1	1	17.2218	17.2218
1	-0.806335	-0.431495	-0.806335	-0.431495	520.551	3069.87	368.844	1	1	350	2868.5	1	1	-1	1	8.29627	8.29627
1	-0.751022	-0.516903	-0.751022	-0.516903	523.724	4338.16	590.175	1	1	350	3639.65	1	1	-1	1	-34.0001	-34.0001
1	-0.870642	-0.389683	-0.870642	-0.389683	651.972	3469.11	384.615	1	1	350	5248.35	1	1	-1	1	-6.60351	-6.60351
1	-0.766633	-0.446072	-0.766633	-0.446072	362.055	3242.64	451.079	1	1	350	4428.81	1	1	-1	1	-6.03097	-6.03097
1	-0.843404	-0.52121	-0.843404	-0.52121	352.473	1368.44	182.87	1	1	350	1749.6	1	1	-1	1	-19.6021	-19.6021
1	-0.724975	-0.324251	-0.724975	-0.324251	567.573	4760.18	251.266	1	1	350	3448.79	1	1	-1	1	58.2511	58.2511
1	-0.729058	-0.370591	-0.729058	-0.370591	326.163	5874.85	321.83	1	1	350	2408.82	1	1	-1	1	-31.688	-31.688
1	-0.822908	-0.317174	-0.822908	-0.317174	218.45	4499.64	414.679	1	1	350	3388.85	1	1	-1	1	-17.9074	-17.9074
