Cas36195	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.250167	-0.827515	-0.250167	-0.827515	323.233	4491.63	507.719	1	1	350	2631.86	1	1	-1	1	-28.9606	-28.9606
1	-0.128178	-0.78257	-0.128178	-0.78257	528.283	5100.62	182.196	1	1	350	3282.06	1	1	-1	1	34.9239	34.9239
1	-0.276359	-0.646927	-0.276359	-0.646927	352.514	4362.94	411.4	1	1	350	3473.75	1	1	-1	1	-5.57958	-5.57958
1	-0.270666	-0.883699	-0.270666	-0.883699	462.343	3854.11	414.114	1	1	350	3676.29	1	1	-1	1	-26.0198	-26.0198
1	-0.251784	-0.821512	-0.251784	-0.821512	365.23	2861.63	434.995	1	1	350	3786.85	1	1	-1	1	46.6224	46.6224
1	-0.407195	-0.841156	-0.407195	-0.841156	324.168	4314.78	362.132	1	1	350	4254.04	1	1	-1	1	-8.79881	-8.79881
1	-0.0881391	-0.975873	-0.0881391	-0.975873	326.283	3693.41	433.818	1	1	350	6102.63	1	1	-1	1	-21.6069	-21.6069
1	-0.169179	-0.867107	-0.169179	-0.867107	254.896	4221.52	344.591	1	1	350	3163.6	1	1	-1	1	-11.2244	-11.2244
1	-0.247811	-0.965802	-0.247811	-0.965802	552.075	4874.58	425.53	1	1	350	3332.32	1	1	-1	1	-30.7103	-30.7103
1	-0.0930954	-0.773971	-0.0930954	-0.773971	155.276	3507.15	514.814	1	1	350	5753.61	1	1	-1	1	-40.2816	-40.2816
1	-0.31745	-0.899798	-0.31745	-0.899798	270.995	3517.74	390.923	1	1	350	6467.04	1	1	-1	1	87.9244	87.9244
1	-0.200296	-0.827863	-0.200296	-0.827863	201.543	3740.81	292.078	1	1	350	3267.13	1	1	-1	1	57.3156	57.3156
1	-0.21043	-0.874792	-0.21043	-0.874792	265.705	4212.6	389.663	1	1	350	2085.98	1	1	-1	1	9.91826	9.91826
1	-0.169615	-0.813054	-0.169615	-0.813054	120.816	6036.94	443.41	1	1	350	4495.82	1	1	-1	1	-45.0984	-45.0984
1	-0.170077	-0.878854	-0.170077	-0.878854	460.219	3127.11	372.978	1	1	350	3295.76	1	1	-1	1	-31.3271	-31.3271
1	-0.255816	-0.799481	-0.255816	-0.799481	404.044	5339.93	566.128	1	1	350	3922.71	1	1	-1	1	-7.10269	-7.10269
1	-0.19504	-0.781325	-0.19504	-0.781325	296.908	3784.57	355.883	1	1	350	3900.14	1	1	-1	1	26.9326	26.9326
1	-0.204856	-0.710525	-0.204856	-0.710525	269.902	4897.9	357.492	1	1	350	4322.43	1	1	-1	1	-47.7316	-47.7316
1	-0.147156	-0.849282	-0.147156	-0.849282	268.202	4059.71	562.967	1	1	350	2691.61	1	1	-1	1	-82.8187	-82.8187
1	-0.113263	-0.990821	-0.113263	-0.990821	372.154	3465.79	429.864	1	1	350	4237.14	1	1	-1	1	-51.8488	-51.8488
1	-0.112098	-0.896272	-0.112098	-0.896272	197.791	3740.8	453.531	1	1	350	3582.58	1	1	-1	1	10.8316	10.8316
1	-0.255726	-0.736536	-0.255726	-0.736536	440.673	4958.87	533.364	1	1	350	2510.17	1	1	-1	1	12.8655	12.8655
1	-0.187221	-0.913203	-0.187221	-0.913203	391.017	5266.79	334.482	1	1	350	3858.08	1	1	-1	1	14.9867	14.9867
1	-0.28124	-0.765193	-0.28124	-0.765193	365.774	4961.02	381.43	1	1	350	2954.02	1	1	-1	1	-5.47646	-5.47646
1	-0.273915	-0.826119	-0.273915	-0.826119	465.223	3436.24	486.949	1	1	350	6864.11	1	1	-1	1	5.56356	5.56356
1	-0.193351	-0.730559	-0.193351	-0.730559	434.574	2711.18	320.334	1	1	350	4050.21	1	1	-1	1	-17.638	-17.638
1	-0.0812777	-0.977903	-0.0812777	-0.977903	365.531	4400.87	423.886	1	1	350	3901.42	1	1	-1	1	29.4152	29.4152
1	-0.248884	-0.849542	-0.248884	-0.849542	403.079	4527.98	283.659	1	1	350	3769.88	1	1	-1	1	-48.7756	-48.7756
1	-0.165816	-0.923081	-0.165816	-0.923081	386.665	1487.45	450.932	1	1	350	3882.25	1	1	-1	1	15.1045	15.1045
1	-0.209275	-0.623448	-0.209275	-0.623448	337.396	4024.23	623.566	1	1	350	5217.1	1	1	-1	1	-30.7379	-30.7379
1	-0.11151	-0.775074	-0.11151	-0.775074	511.144	6095.56	383.746	1	1	350	2613.4	1	1	-1	1	-12.6707	-12.6707
1	-0.272136	-0.734761	-0.272136	-0.734761	520.217	3811.56	359.773	1	1	350	3232.17	1	1	-1	1	18.5417	18.5417
1	-0.190482	-0.912185	-0.190482	-0.912185	407.238	3355.81	566.109	1	1	350	5013.03	1	1	-1	1	35.6414	35.6414
1	-0.152629	-0.869265	-0.152629	-0.869265	297.325	2992.23	306.2	1	1	350	4470.09	1	1	-1	1	-40.194	-40.194
1	-0.112729	-0.854986	-0.112729	-0.854986	282.703	2189.04	362.341	1	1	350	3806.94	1	1	-1	1	43.4322	43.4322
1	-0.0804346	-0.755185	-0.0804346	-0.755185	425.1	3510.56	396.721	1	1	350	5353.48	1	1	-1	1	22.3167	22.3167
1	-0.186597	-0.855379	-0.186597	-0.855379	373.538	4301.43	460.7	1	1	350	3900.1	1	1	-1	1	-3.28166	-3.28166
1	-0.30144	-0.784078	-0.30144	-0.784078	318.681	3016.09	291.096	1	1	350	4949.12	1	1	-1	1	-7.75977	-7.75977
1	-0.246892	-0.984521	-0.246892	-0.984521	413.202	4253.47	303.222	1	1	350	3996.85	1	1	-1	1	-8.54688	-8.54688
1	-0.270135	-0.86091	-0.270135	-0.86091	281.535	4787.97	430.444	1	1	350	5790.06	1	1	-1	1	-11.5533	-11.5533
1	-0.0217402	-0.895107	-0.0217402	-0.895107	434.042	3406.7	381.086	1	1	350	4828.89	1	1	-1	1	-0.0850258	-0.0850258
1	-0.237668	-0.949959	-0.237668	-0.949959	240.791	4492.2	232.399	1	1	350	4651.64	1	1	-1	1	0.908122	0.908122
1	-0.138393	-0.79817	-0.138393	-0.79817	154.624	4565.48	227.64	1	1	350	3144.14	1	1	-1	1	28.1508	28.1508
1	-0.206861	-0.814622	-0.206861	-0.814622	379.188	3957.19	226.787	1	1	350	3559.62	1	1	-1	1	52.7965	52.7965
1	-0.128162	-0.832713	-0.128162	-0.832713	301.807	5956.45	401.981	1	1	350	4384.79	1	1	-1	1	15.5224	15.5224
1	-0.248533	-0.932241	-0.248533	-0.932241	553.112	2727.8	445.313	1	1	350	4289.1	1	1	-1	1	-8.26935	-8.26935
1	-0.294937	-0.753069	-0.294937	-0.753069	537.267	4275.07	466.707	1	1	350	2573.43	1	1	-1	1	21.0877	21.0877
1	-0.296401	-0.809657	-0.296401	-0.809657	338.788	3073.26	293.801	1	1	350	4276.81	1	1	-1	1	5.54732	5.54732
1	-0.157312	-0.856922	-0.157312	-0.856922	303.326	3278.24	198.916	1	1	350	4353.64	1	1	-1	1	-37.1043	-37.1043
1	-0.205765	-0.833484	-0.205765	-0.833484	378.36	4440.97	459.223	1	1	350	2233.59	1	1	-1	1	32.4814	32.4814
1	-0.207125	-0.854223	-0.207125	-0.854223	368.392	5092.89	391.579	1	1	350	2848.75	1	1	-1	1	9.90162	9.90162
1	-0.0895274	-0.962565	-0.0895274	-0.962565	538.532	4170.1	398.225	1	1	350	5461.33	1	1	-1	1	3.85769	3.85769
1	-0.171625	-0.855945	-0.171625	-0.855945	365.17	5304.85	359.39	1	1	350	3455.79	1	1	-1	1	17.2218	17.2218
1	-0.178452	-0.895673	-0.178452	-0.895673	520.551	3069.87	368.844	1	1	350	2868.5	1	1	-1	1	8.29627	8.29627
1	-0.0772687	-0.906436	-0.0772687	-0.906436	523.724	4338.16	590.175	1	1	350	3639.65	1	1	-1	1	-34.0001	-34.0001
1	-0.251417	-0.919336	-0.251417	-0.919336	651.972	3469.11	384.615	1	1	350	5248.35	1	1	-1	1	-6.60351	-6.60351
1	-0.142139	-0.873993	-0.142139	-0.873993	362.055	3242.64	451.079	1	1	350	4428.81	1	1	-1	1	-6.03097	-6.03097
1	-0.132059	-0.980941	-0.132059	-0.980941	352.473	1368.44	182.87	1	1	350	1749.6	1	1	-1	1	-19.6021	-19.6021
1	-0.210595	-0.764954	-0.210595	-0.764954	567.573	4760.18	251.266	1	1	350	3448.79	1	1	-1	1	58.2511	58.2511
1	-0.177152	-0.79729	-0.177152	-0.79729	326.163	5874.85	321.83	1	1	350	2408.82	1	1	-1	1	-31.688	-31.688
1	-0.277726	-0.836608	-0.277726	-0.836608	218.45	4499.64	414.679	1	1	350	3388.85	1	1	-1	1	-17.9074	-17.9074
1	-0.276423	-0.837681	-0.276423	-0.837681	408.673	5376.32	436.166	1	1	350	2099.99	1	1	-1	1	-25.931	-25.931
1	-0.712249	0.589319	-0.712249	0.589319	450.026	4058.98	650.979	1	1	350	4668.75	1	1	-1	1	-13.9858	-13.9858
1	-0.640762	0.631991	-0.640762	0.631991	363.702	2769.58	224.267	1	1	350	5028.1	1	1	-1	1	7.39619	7.39619
1	-0.646719	0.60831	-0.646719	0.60831	364.931	3127.53	227.185	1	1	350	4845.34	1	1	-1	1	-7.68447	-7.68447
1	-0.515378	0.663315	-0.515378	0.663315	263.709	3197.33	371.882	1	1	350	4999.73	1	1	-1	1	13.1907	13.1907
1	-0.644896	0.657742	-0.644896	0.657742	572.28	5102.38	313.058	1	1	350	5244.4	1	1	-1	1	16.6406	16.6406
1	-0.704241	0.537114	-0.704241	0.537114	420.137	3519.64	296.141	1	1	350	3185.32	1	1	-1	1	-30.1214	-30.1214
1	-0.510036	0.603214	-0.510036	0.603214	345.231	4091.44	495.289	1	1	350	3491	1	1	-1	1	-3.63966	-3.63966
1	-0.536883	0.51575	-0.536883	0.51575	440.181	2666.85	357.332	1	1	350	2614	1	1	-1	1	-72.3911	-72.3911
1	-0.643483	0.488274	-0.643483	0.488274	483.44	3816.94	446.852	1	1	350	2033.85	1	1	-1	1	42.8516	42.8516
1	-0.736415	0.651827	-0.736415	0.651827	295.17	2374.13	420.345	1	1	350	3064.63	1	1	-1	1	-19.5421	-19.5421
1	-0.659136	0.584504	-0.659136	0.584504	422.526	3297.58	239.935	1	1	350	2686.91	1	1	-1	1	-39.752	-39.752
1	-0.638119	0.580502	-0.638119	0.580502	351.763	4759.49	476.586	1	1	350	4053.44	1	1	-1	1	-6.35117	-6.35117
1	-0.606669	0.65083	-0.606669	0.65083	565.072	5709.65	374.369	1	1	350	3625.09	1	1	-1	1	-47.6563	-47.6563
1	-0.645779	0.627785	-0.645779	0.627785	415.893	4485.44	333.784	1	1	350	4436.1	1	1	-1	1	1.84469	1.84469
1	-0.594486	0.609995	-0.594486	0.609995	287.531	4097.24	384.681	1	1	350	3066.27	1	1	-1	1	-17.1361	-17.1361
1	-0.598237	0.675518	-0.598237	0.675518	388.894	5073.26	439.334	1	1	350	4339.8	1	1	-1	1	79.1536	79.1536
1	-0.717816	0.652188	-0.717816	0.652188	444.905	4728.02	510.496	1	1	350	4195.38	1	1	-1	1	42.6091	42.6091
1	-0.695778	0.601955	-0.695778	0.601955	610.058	1551.13	410.209	1	1	350	2360.2	1	1	-1	1	-85.218	-85.218
1	-0.680719	0.534242	-0.680719	0.534242	403.957	2208.43	227.532	1	1	350	2041.04	1	1	-1	1	18.0961	18.0961
1	-0.663736	0.537067	-0.663736	0.537067	457.157	3166.64	483.433	1	1	350	1666.34	1	1	-1	1	-46.5835	-46.5835
1	-0.650105	0.671285	-0.650105	0.671285	520.073	3126.39	345.352	1	1	350	3344.97	1	1	-1	1	-6.39022	-6.39022
1	-0.625859	0.467159	-0.625859	0.467159	450.877	2399.77	584.521	1	1	350	4083.72	1	1	-1	1	8.3589	8.3589
1	-0.84729	0.582719	-0.84729	0.582719	313.024	3321.75	461.003	1	1	350	4511.41	1	1	-1	1	28.8701	28.8701
1	-0.660037	0.442625	-0.660037	0.442625	383.894	3068.82	465.415	1	1	350	3005.33	1	1	-1	1	-7.02285	-7.02285
1	-0.536317	0.658792	-0.536317	0.658792	334.218	5100.22	365.897	1	1	350	3575.18	1	1	-1	1	58.0043	58.0043
1	-0.704422	0.647233	-0.704422	0.647233	470.675	3390.02	315.675	1	1	350	1729.13	1	1	-1	1	-14.3327	-14.3327
1	-0.558792	0.584585	-0.558792	0.584585	554.032	2723.98	327.01	1	1	350	5782.37	1	1	-1	1	14.0941	14.0941
1	-0.601264	0.579343	-0.601264	0.579343	397.806	3583.73	270.339	1	1	350	3212.79	1	1	-1	1	25.9516	25.9516
1	-0.628878	0.403499	-0.628878	0.403499	505.476	3315.03	317.632	1	1	350	4374.92	1	1	-1	1	5.57351	5.57351
1	-0.613484	0.626809	-0.613484	0.626809	330.324	4262.16	518.193	1	1	350	2396.86	1	1	-1	1	33.5543	33.5543
1	-0.740702	0.424892	-0.740702	0.424892	415.93	3768.71	340.174	1	1	350	3507.45	1	1	-1	1	13.943	13.943
1	-0.632921	0.415657	-0.632921	0.415657	382.353	2514.48	394.043	1	1	350	4959.67	1	1	-1	1	-24.9942	-24.9942
