Cas36490	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.128861	0.804175	-0.128861	0.804175	446.553	3125.18	398.486	1	1	350	3401.59	1	1	-1	1	-18.7542	-18.7542
1	-0.194347	0.739514	-0.194347	0.739514	454.113	4360.38	427.895	1	1	350	4912.92	1	1	-1	1	73.076	73.076
1	-0.300386	0.911426	-0.300386	0.911426	524.654	3574.4	272.806	1	1	350	2474.55	1	1	-1	1	-73.0755	-73.0755
1	-0.264167	0.841546	-0.264167	0.841546	466.307	2889.62	513.34	1	1	350	2192.17	1	1	-1	1	-20.9899	-20.9899
1	-0.247168	0.905889	-0.247168	0.905889	210.413	3364.25	312.521	1	1	350	3229.87	1	1	-1	1	50.8657	50.8657
1	-0.125796	0.891239	-0.125796	0.891239	468.394	4690.22	396.372	1	1	350	2590.39	1	1	-1	1	-39.6199	-39.6199
1	-0.270686	0.855414	-0.270686	0.855414	532.519	3713.3	641.61	1	1	350	5564.32	1	1	-1	1	17.0632	17.0632
1	-0.259929	0.828174	-0.259929	0.828174	440.457	4992.21	476.413	1	1	350	4253.35	1	1	-1	1	-80.4398	-80.4398
1	-0.254175	0.823859	-0.254175	0.823859	337.269	3162.72	487.423	1	1	350	4779.26	1	1	-1	1	29.0413	29.0413
1	-0.052896	0.652624	-0.052896	0.652624	257.969	2964.19	615.136	1	1	350	6168.03	1	1	-1	1	-19.9233	-19.9233
1	-0.256916	0.770574	-0.256916	0.770574	499.038	4693.4	517.969	1	1	350	3491.78	1	1	-1	1	-24.7035	-24.7035
1	-0.30784	0.879931	-0.30784	0.879931	403.397	5402.09	620.804	1	1	350	5116.45	1	1	-1	1	23.1647	23.1647
1	-0.310186	0.687285	-0.310186	0.687285	354.783	3437.58	309.646	1	1	350	3567.66	1	1	-1	1	-37.1161	-37.1161
1	-0.160979	0.828896	-0.160979	0.828896	301.095	4691.46	299.843	1	1	350	3474.01	1	1	-1	1	53.8035	53.8035
1	-0.173881	0.866614	-0.173881	0.866614	444.87	4882.88	448.468	1	1	350	4092.78	1	1	-1	1	-23.0862	-23.0862
1	-0.228278	0.85774	-0.228278	0.85774	496.736	4154.49	492.529	1	1	350	3318.63	1	1	-1	1	-27.0887	-27.0887
1	-0.297917	0.69673	-0.297917	0.69673	326.843	4026.89	507.923	1	1	350	4039.8	1	1	-1	1	-42.8571	-42.8571
1	-0.306173	0.735747	-0.306173	0.735747	359.702	5687.13	569.606	1	1	350	4207.68	1	1	-1	1	-22.2234	-22.2234
1	-0.119164	0.716062	-0.119164	0.716062	438.625	2506.73	420.631	1	1	350	4883.65	1	1	-1	1	10.6223	10.6223
1	-0.336063	0.693885	-0.336063	0.693885	315.027	4512.32	300.918	1	1	350	5136.83	1	1	-1	1	65.7925	65.7925
1	-0.268677	0.769219	-0.268677	0.769219	313.879	3568.01	312.167	1	1	350	3574.48	1	1	-1	1	-4.97389	-4.97389
1	-0.105042	0.75738	-0.105042	0.75738	299.28	3635.01	300.064	1	1	350	4736.23	1	1	-1	1	-53.5244	-53.5244
1	-0.184289	0.851292	-0.184289	0.851292	501.284	3594.17	412.365	1	1	350	4027.63	1	1	-1	1	-7.50121	-7.50121
1	-0.228454	0.785283	-0.228454	0.785283	435.33	3996.67	425.371	1	1	350	3244.95	1	1	-1	1	-30.2658	-30.2658
1	-0.299583	0.875657	-0.299583	0.875657	303.525	3997.31	547.895	1	1	350	3600.64	1	1	-1	1	-0.150092	-0.150092
1	-0.231716	0.817948	-0.231716	0.817948	674.16	4129.41	513.852	1	1	350	4953.54	1	1	-1	1	-14.1922	-14.1922
1	-0.235115	0.864531	-0.235115	0.864531	392.652	2817.42	428.755	1	1	350	3526.89	1	1	-1	1	36.7397	36.7397
1	-0.238781	0.820933	-0.238781	0.820933	305.957	3412.06	383.465	1	1	350	3856.65	1	1	-1	1	-35.6293	-35.6293
1	-0.156931	0.838181	-0.156931	0.838181	398.402	3874.37	307.436	1	1	350	3169.01	1	1	-1	1	7.58144	7.58144
1	-0.28219	0.977395	-0.28219	0.977395	259.951	5435.68	592.118	1	1	350	6002.11	1	1	-1	1	-59.7197	-59.7197
1	-0.25755	0.735635	-0.25755	0.735635	312.668	3961.95	603.448	1	1	350	4550.67	1	1	-1	1	2.42144	2.42144
