Cas36489	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.609338	0.450002	0.609338	0.450002	446.553	3125.18	398.486	1	1	350	3401.59	1	1	-1	1	-18.7542	-59.1403
1	0.691151	0.512795	0.691151	0.512795	454.113	4360.38	427.895	1	1	350	4912.92	1	1	-1	1	73.076	32.3279
1	0.534655	0.632539	0.534655	0.632539	524.654	3574.4	272.806	1	1	350	2474.55	1	1	-1	1	-73.0755	-114.03
1	0.582393	0.587758	0.582393	0.587758	466.307	2889.62	513.34	1	1	350	2192.17	1	1	-1	1	-20.9899	-61.3854
1	0.772836	0.621979	0.772836	0.621979	210.413	3364.25	312.521	1	1	350	3229.87	1	1	-1	1	50.8657	3.0528
1	0.64807	0.476199	0.64807	0.476199	468.394	4690.22	396.372	1	1	350	2590.39	1	1	-1	1	-39.6199	-83.6524
1	0.659588	0.61171	0.659588	0.61171	532.519	3713.3	641.61	1	1	350	5564.32	1	1	-1	1	17.0632	-25.9571
1	0.466494	0.559155	0.466494	0.559155	440.457	4992.21	476.413	1	1	350	4253.35	1	1	-1	1	-80.4398	-117.098
1	0.660601	0.587609	0.660601	0.587609	337.269	3162.72	487.423	1	1	350	4779.26	1	1	-1	1	29.0413	-13.1315
1	0.508049	0.318268	0.508049	0.318268	257.969	2964.19	615.136	1	1	350	6168.03	1	1	-1	1	-19.9233	-53.1545
1	0.517786	0.550818	0.517786	0.550818	499.038	4693.4	517.969	1	1	350	3491.78	1	1	-1	1	-24.7035	-61.1898
1	0.676417	0.657565	0.676417	0.657565	403.397	5402.09	620.804	1	1	350	5116.45	1	1	-1	1	23.1647	-20.9726
1	0.402458	0.561082	0.402458	0.561082	354.783	3437.58	309.646	1	1	350	3567.66	1	1	-1	1	-37.1161	-67.737
1	0.747043	0.512882	0.747043	0.512882	301.095	4691.46	299.843	1	1	350	3474.01	1	1	-1	1	53.8035	8.77955
1	0.636893	0.515205	0.636893	0.515205	444.87	4882.88	448.468	1	1	350	4092.78	1	1	-1	1	-23.0862	-65.9798
1	0.600004	0.55977	0.600004	0.55977	496.736	4154.49	492.529	1	1	350	3318.63	1	1	-1	1	-27.0887	-68.5398
1	0.405306	0.551934	0.405306	0.551934	326.843	4026.89	507.923	1	1	350	4039.8	1	1	-1	1	-42.8571	-73.8599
1	0.472282	0.58215	0.472282	0.58215	359.702	5687.13	569.606	1	1	350	4207.68	1	1	-1	1	-22.2234	-56.2781
1	0.590091	0.414516	0.590091	0.414516	438.625	2506.73	420.631	1	1	350	4883.65	1	1	-1	1	10.6223	-26.6792
1	0.581335	0.620674	0.581335	0.620674	315.027	4512.32	300.918	1	1	350	5136.83	1	1	-1	1	65.7925	29.8507
1	0.547065	0.567356	0.547065	0.567356	313.879	3568.01	312.167	1	1	350	3574.48	1	1	-1	1	-4.97389	-42.2446
1	0.516775	0.39785	0.516775	0.39785	299.28	3635.01	300.064	1	1	350	4736.23	1	1	-1	1	-53.5244	-89.9253
1	0.647332	0.523434	0.647332	0.523434	501.284	3594.17	412.365	1	1	350	4027.63	1	1	-1	1	-7.50121	-50.2321
1	0.532059	0.529153	0.532059	0.529153	435.33	3996.67	425.371	1	1	350	3244.95	1	1	-1	1	-30.2658	-67.652
1	0.634479	0.640744	0.634479	0.640744	303.525	3997.31	547.895	1	1	350	3600.64	1	1	-1	1	-0.150092	-42.9658
1	0.587471	0.550739	0.587471	0.550739	674.16	4129.41	513.852	1	1	350	4953.54	1	1	-1	1	-14.1922	-54.1222
1	0.717014	0.589455	0.717014	0.589455	392.652	2817.42	428.755	1	1	350	3526.89	1	1	-1	1	36.7397	-8.2851
1	0.548886	0.551451	0.548886	0.551451	305.957	3412.06	383.465	1	1	350	3856.65	1	1	-1	1	-35.6293	-74.5119
1	0.674134	0.498039	0.674134	0.498039	398.402	3874.37	307.436	1	1	350	3169.01	1	1	-1	1	7.58144	-35.606
1	0.622533	0.64739	0.622533	0.64739	259.951	5435.68	592.118	1	1	350	6002.11	1	1	-1	1	-59.7197	-105.168
1	0.535965	0.545836	0.535965	0.545836	312.668	3961.95	603.448	1	1	350	4550.67	1	1	-1	1	2.42144	-33.5804
1	0.728705	0.52692	0.728705	0.52692	545.233	3277.24	414.954	1	1	350	2651.65	1	1	-1	1	42.6454	-2.07704
1	0.760252	0.555407	0.760252	0.555407	517.748	4167.04	226.497	1	1	350	4993.23	1	1	-1	1	17.8747	-30.3169
1	0.560952	0.544907	0.560952	0.544907	487.624	2737.15	381.392	1	1	350	1669.63	1	1	-1	1	-23.3782	-62.2194
1	0.492049	0.525524	0.492049	0.525524	285.619	3769.48	256.486	1	1	350	4058.52	1	1	-1	1	-36.9588	-72.3653
1	0.484948	0.60571	0.484948	0.60571	357.147	4848.58	405.255	1	1	350	3161.62	1	1	-1	1	-38.0769	-73.9738
1	0.585608	0.505398	0.585608	0.505398	438.105	3753.4	363.908	1	1	350	2866.46	1	1	-1	1	-33.6649	-74.076
1	0.740694	0.726272	0.740694	0.726272	381.553	3058.18	401.511	1	1	350	4809.57	1	1	-1	1	50.6488	3.58646
1	0.679541	0.620331	0.679541	0.620331	575.855	2597.75	346.616	1	1	350	4665.69	1	1	-1	1	36.496	-6.70426
1	0.501185	0.60829	0.501185	0.60829	371.261	6749.09	432.259	1	1	350	5515.61	1	1	-1	1	-32.775	-69.3458
