Cas36489	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.586758	-0.573759	0.586758	-0.573759	446.553	3125.18	398.486	1	1	350	3401.59	1	1	-1	1	-18.7542	-6.45548
1	0.574993	-0.446154	0.574993	-0.446154	454.113	4360.38	427.895	1	1	350	4912.92	1	1	-1	1	73.076	84.039
1	0.804227	-0.581264	0.804227	-0.581264	524.654	3574.4	272.806	1	1	350	2474.55	1	1	-1	1	-73.0755	-58.9343
1	0.71876	-0.525247	0.71876	-0.525247	466.307	2889.62	513.34	1	1	350	2192.17	1	1	-1	1	-20.9899	-8.11268
1	0.721649	-0.558144	0.721649	-0.558144	210.413	3364.25	312.521	1	1	350	3229.87	1	1	-1	1	50.8657	64.4509
1	0.641367	-0.654136	0.641367	-0.654136	468.394	4690.22	396.372	1	1	350	2590.39	1	1	-1	1	-39.6199	-25.9139
1	0.721015	-0.51726	0.721015	-0.51726	532.519	3713.3	641.61	1	1	350	5564.32	1	1	-1	1	17.0632	30.0071
1	0.724905	-0.540915	0.724905	-0.540915	440.457	4992.21	476.413	1	1	350	4253.35	1	1	-1	1	-80.4398	-67.5403
1	0.685674	-0.496708	0.685674	-0.496708	337.269	3162.72	487.423	1	1	350	4779.26	1	1	-1	1	29.0413	41.4584
1	0.436903	-0.49674	0.436903	-0.49674	257.969	2964.19	615.136	1	1	350	6168.03	1	1	-1	1	-19.9233	-9.93163
1	0.672423	-0.473807	0.672423	-0.473807	499.038	4693.4	517.969	1	1	350	3491.78	1	1	-1	1	-24.7035	-12.8946
1	0.763643	-0.512722	0.763643	-0.512722	403.397	5402.09	620.804	1	1	350	5116.45	1	1	-1	1	23.1647	36.4594
1	0.670384	-0.380371	0.670384	-0.380371	354.783	3437.58	309.646	1	1	350	3567.66	1	1	-1	1	-37.1161	-26.5303
1	0.605977	-0.545569	0.605977	-0.545569	301.095	4691.46	299.843	1	1	350	3474.01	1	1	-1	1	53.8035	66.2032
1	0.661009	-0.599364	0.661009	-0.599364	444.87	4882.88	448.468	1	1	350	4092.78	1	1	-1	1	-23.0862	-9.81866
1	0.700993	-0.561851	0.700993	-0.561851	496.736	4154.49	492.529	1	1	350	3318.63	1	1	-1	1	-27.0887	-13.9413
1	0.667669	-0.397508	0.667669	-0.397508	326.843	4026.89	507.923	1	1	350	4039.8	1	1	-1	1	-42.8571	-32.1054
1	0.691154	-0.415786	0.691154	-0.415786	359.702	5687.13	569.606	1	1	350	4207.68	1	1	-1	1	-22.2234	-10.9552
1	0.518719	-0.496609	0.518719	-0.496609	438.625	2506.73	420.631	1	1	350	4883.65	1	1	-1	1	10.6223	21.4653
1	0.665058	-0.329016	0.665058	-0.329016	315.027	4512.32	300.918	1	1	350	5136.83	1	1	-1	1	65.7925	76.0873
1	0.675369	-0.457852	0.675369	-0.457852	313.879	3568.01	312.167	1	1	350	3574.48	1	1	-1	1	-4.97389	6.73923
1	0.550266	-0.564055	0.550266	-0.564055	299.28	3635.01	300.064	1	1	350	4736.23	1	1	-1	1	-53.5244	-41.8071
1	0.655896	-0.574618	0.655896	-0.574618	501.284	3594.17	412.365	1	1	350	4027.63	1	1	-1	1	-7.50121	5.47333
1	0.659638	-0.504632	0.659638	-0.504632	435.33	3996.67	425.371	1	1	350	3244.95	1	1	-1	1	-30.2658	-18.2114
1	0.761285	-0.523525	0.761285	-0.523525	303.525	3997.31	547.895	1	1	350	3600.64	1	1	-1	1	-0.150092	13.1681
1	0.676699	-0.522564	0.676699	-0.522564	674.16	4129.41	513.852	1	1	350	4953.54	1	1	-1	1	-14.1922	-1.70077
1	0.691816	-0.537588	0.691816	-0.537588	392.652	2817.42	428.755	1	1	350	3526.89	1	1	-1	1	36.7397	49.7478
1	0.690438	-0.529455	0.690438	-0.529455	305.957	3412.06	383.465	1	1	350	3856.65	1	1	-1	1	-35.6293	-23.0108
1	0.62167	-0.574055	0.62167	-0.574055	398.402	3874.37	307.436	1	1	350	3169.01	1	1	-1	1	7.58144	20.2986
1	0.824225	-0.639745	0.824225	-0.639745	259.951	5435.68	592.118	1	1	350	6002.11	1	1	-1	1	-59.7197	-44.6231
1	0.644537	-0.434346	0.644537	-0.434346	312.668	3961.95	603.448	1	1	350	4550.67	1	1	-1	1	2.42144	13.5942
1	0.626941	-0.548403	0.626941	-0.548403	545.233	3277.24	414.954	1	1	350	2651.65	1	1	-1	1	42.6454	55.2262
1	0.686144	-0.629471	0.686144	-0.629471	517.748	4167.04	226.497	1	1	350	4993.23	1	1	-1	1	17.8747	31.8978
1	0.674436	-0.516396	0.674436	-0.516396	487.624	2737.15	381.392	1	1	350	1669.63	1	1	-1	1	-23.3782	-11.0186
1	0.65422	-0.478756	0.65422	-0.478756	285.619	3769.48	256.486	1	1	350	4058.52	1	1	-1	1	-36.9588	-25.2993
1	0.732693	-0.458942	0.732693	-0.458942	357.147	4848.58	405.255	1	1	350	3161.62	1	1	-1	1	-38.0769	-25.9609
1	0.650972	-0.571512	0.650972	-0.571512	438.105	3753.4	363.908	1	1	350	2866.46	1	1	-1	1	-33.6649	-20.8731
1	0.817639	-0.506131	0.817639	-0.506131	381.553	3058.18	401.511	1	1	350	4809.57	1	1	-1	1	50.6488	64.4527
1	0.714494	-0.49384	0.714494	-0.49384	575.855	2597.75	346.616	1	1	350	4665.69	1	1	-1	1	36.496	49.1654
1	0.733422	-0.463605	0.733422	-0.463605	371.261	6749.09	432.259	1	1	350	5515.61	1	1	-1	1	-32.775	-20.5744
1	0.68923	-0.507896	0.68923	-0.507896	588.649	4012.7	463.67	1	1	350	6130.49	1	1	-1	1	33.7703	46.376
1	0.638793	-0.573417	0.638793	-0.573417	447.968	2933.67	484.617	1	1	350	4859.61	1	1	-1	1	-24.9301	-12.1909
1	0.642548	-0.605308	0.642548	-0.605308	545.851	4792.28	435.981	1	1	350	2596.06	1	1	-1	1	-36.4869	-23.3631
1	0.745476	-0.59044	0.745476	-0.59044	298.929	2461.09	330.727	1	1	350	5234.84	1	1	-1	1	-0.880341	13.1216
1	0.751172	-0.396981	0.751172	-0.396981	368.216	4255.54	445.771	1	1	350	4904.21	1	1	-1	1	-36.3577	-24.8363
1	0.698284	-0.554409	0.698284	-0.554409	318.21	4160.82	472.904	1	1	350	5012.24	1	1	-1	1	-8.04587	5.05773
1	0.656864	-0.557863	0.656864	-0.557863	325.18	4676.91	455.483	1	1	350	4773.99	1	1	-1	1	29.4347	42.3515
1	0.682755	-0.491367	0.682755	-0.491367	277.495	4828.66	381.82	1	1	350	3531.97	1	1	-1	1	-5.18527	7.00864
1	0.762716	-0.558403	0.762716	-0.558403	213.471	4238.67	467.695	1	1	350	3643.04	1	1	-1	1	45.1485	59.0846
1	0.570831	-0.486955	0.570831	-0.486955	519.618	3040.03	484.501	1	1	350	5102.52	1	1	-1	1	58.517	69.8924
1	0.820305	-0.535896	0.820305	-0.535896	306.771	2641.76	565.586	1	1	350	2965.38	1	1	-1	1	33.1969	47.3268
1	0.716506	-0.547219	0.716506	-0.547219	213.177	4182.45	440.34	1	1	350	5443.99	1	1	-1	1	7.61806	20.8564
1	0.564018	-0.454109	0.564018	-0.454109	482.978	3677.67	316.492	1	1	350	5038.38	1	1	-1	1	-37.5734	-27.0332
1	0.688307	-0.585634	0.688307	-0.585634	326.41	4107.39	403.466	1	1	350	3366.57	1	1	-1	1	-2.98417	10.4357
1	0.624044	-0.410343	0.624044	-0.410343	493.363	4579.7	403.623	1	1	350	2607.99	1	1	-1	1	-14.8317	-4.20659
1	0.686592	-0.521502	0.686592	-0.521502	424.27	5199.65	380.997	1	1	350	2852.31	1	1	-1	1	50.3714	63.1853
1	0.616558	-0.44397	0.616558	-0.44397	449.093	5102.82	399.718	1	1	350	4368.54	1	1	-1	1	-0.00643998	11.0244
1	0.73356	-0.482786	0.73356	-0.482786	511.951	5698.68	428.123	1	1	350	4506.06	1	1	-1	1	15.4686	28.0923
