Cas16748	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	0.71588	0.80658	1.03936	-0.807333	718.197	3973.09	328.413	0	1.01956	711.313	4175.69	1	1	-1	215	0	0
0	0.99118	0.4413	0.619102	-1.09243	553.588	3266.66	339.185	0	1.19409	688.211	3498.67	1	1	-1	263	0	0
1	-0.49457	-0.93446	-0.846745	0.518101	342.305	3177.69	425.429	0	1.19316	669.234	3472.52	1	1	-1	277	0	0
0	-0.59094	0.75263	1.03973	0.5844	291.176	4194.08	299.15	0	1.30916	716.343	4520.43	1	2	-1	359	0	0
1	1.15541	-0.67796	-0.637085	-1.24313	433.507	2987.39	366.544	0	1.19396	638.982	3270.88	1	1	-1	532	0	0
1	0.90129	-0.06362	0.0600142	-0.985927	599.338	10596.9	343.291	0	1.03951	683.971	11050.9	1	2	-1	542	0	0
0	0.66788	0.67642	0.896375	-0.753454	1304.94	7866.07	342.817	0	0.96885	729.364	8224.16	1	1	-1	559	0	0
0	-1.09154	0.22191	0.470897	1.12847	270.08	3088.13	472.15	0	1.10138	677.191	3189.63	1	1	-1	723	0	0
0	0.69591	-0.51782	-0.437146	-0.757615	348.904	2612.21	382.058	0	0.90508	687.062	2834.95	1	1	-1	758	0	0
1	1.09671	-0.69046	-0.648313	-1.1804	1243.58	9413.05	347.731	0	1.13605	683.318	9745.86	1	2	-1	912	0	0
0	-0.33826	-1.17322	-1.12034	0.356908	802.655	5697.5	372.011	0	0.99086	685.771	5943.25	1	1	-1	1189	0	0
0	-0.91388	0.32911	0.582233	0.937129	561.012	3059.86	326.094	0	1.0557	661.874	3262.19	1	1	-1	1209	0	0
0	-0.46256	-1.13494	-1.07188	0.488344	794.029	8727.82	407.164	0	0.98441	660.062	8951.9	1	2	-1	1248	0	0
0	-0.39346	-0.94831	-0.866894	0.410814	700.914	3870.83	328.132	0	0.95715	688.905	3996.63	1	1	-1	1273	0	0
0	0.26726	-0.98863	-0.94248	-0.291383	600.929	6339.5	378.429	0	1.24066	650.838	6667.86	1	2	-1	1294	0	0
0	-0.64693	0.65326	0.931476	0.646107	942.775	34380.4	330.163	0	1.00909	704.094	35432.6	1	4	-1	1314	0	0
0	-0.97157	-0.83341	-0.711928	1.0235	794.842	4731.98	340.69	0	0.94476	688.17	4918.67	1	1	-1	1438	0	0
1	0.40913	0.7586	1.00004	-0.479899	1578.19	14845.6	388.241	0	1.08028	821.341	16326.6	1	2	-1	1492	0	0
1	1.1476	-0.74645	-0.713127	-1.23334	2111.64	20334.3	369.985	0	0.98492	823.291	20901.5	1	2	-1	1527	0	0
1	0.41147	-0.97261	-0.9313	-0.445174	1735.96	15762.1	354.098	0	1.01477	841.941	16190.7	1	2	-1	1547	0	0
0	0.89624	0.86577	1.09701	-1.00053	578.972	3371.28	336.936	0	0.97902	782.604	3653.39	1	1	-1	1578	0	0
1	-0.37073	-1.13303	-1.074	0.390595	784.42	20331.2	366.538	0	1.07779	886.023	21528.6	1	3	-1	1587	0	0
1	-0.7676	0.09237	0.311371	0.786556	1559.96	8341.53	322.883	0	1.01466	908.732	8940.16	1	1	-1	1597	0	0
1	0.23605	-0.99079	-0.943456	-0.258127	1093.63	7492.99	365.486	0	1.02183	866.917	7864.07	1	1	-1	1602	0	0
1	0.50525	0.58629	0.803359	-0.578472	1842.99	19455.5	336.718	0	0.98689	829.758	19899.7	1	2	-1	1612	0	0
1	0.17337	0.95724	1.23256	-0.233296	193.722	39712.7	327.819	0	1.02093	822.976	40776.7	1	4	-1	1617	0	0
1	1.1215	-0.70178	-0.662088	-1.20654	1258.87	25283.5	363.823	0	1.04205	823.682	25882.8	1	3	-1	1622	0	0
0	1.13653	-0.56961	-0.515349	-1.22537	614.029	2887.51	302.793	0	0.87518	791.929	3070.45	1	1	-1	1633	0	0
1	-0.61438	0.69059	0.971601	0.610665	1503.46	14753	340.645	0	0.97914	834.904	15165.4	1	2	-1	1637	0	0
1	0.27577	0.59539	0.824154	-0.334485	523.489	3872.88	379.788	0	0.91857	777.464	4059.26	1	1	-1	1652	0	0
1	0.27984	-1.0219	-0.980188	-0.304058	690.424	4844.1	369.851	0	1.17765	837.121	5053.06	1	1	-1	1662	0	0
1	0.81415	0.59984	0.804157	-0.907451	1296.42	6404	310.335	0	0.95396	826.878	6639.99	1	1	-1	1692	0	0
0	-0.45026	-1.08729	-1.01929	0.474235	250.486	2804.14	467.182	0	0.82743	666.671	2904.13	1	1	-1	1770	0	0
0	-0.91861	0.53941	0.817056	0.937646	174.507	2685.26	547.727	0	0.57053	649.229	2518.76	1	1	-1	1853	0	0
0	-0.45429	-1.24996	-1.20058	0.482015	1191.14	9055.45	384.992	0	0.96171	698.182	9338.08	1	1	-1	1924	0	0
0	-0.72838	0.61131	0.888448	0.733679	162.553	4434.64	520.193	0	0.88373	612.619	4642.3	1	2	-1	2045	0	0
1	-0.64038	0.26657	0.499795	0.647445	768.536	6915.96	418.864	0	0.55096	858.389	7324.94	1	1	-1	2212	0	0
1	-0.58913	-1.12357	-1.05333	0.622782	835.499	6323.58	384.138	0	0.92758	809.866	6611.56	1	1	-1	2242	0	0
1	-0.34216	0.63101	0.892525	0.322287	1738.69	31258.9	384.159	0	0.9168	897.428	35031.1	1	3	-1	2252	0	0
1	-0.85018	0.12994	0.357107	0.873624	1879.21	10559.1	330.981	0	0.94928	938.314	11191.6	1	1	-1	2262	0	0
1	0.34691	-1.11717	-1.08957	-0.373371	666.495	3826.96	334.585	0	0.73508	799.063	3988.91	1	1	-1	2277	0	0
1	0.46358	0.67158	0.900447	-0.535964	1532.99	9322.09	344.322	0	0.98682	909.756	9569.98	1	1	-1	2282	0	0
1	-1.10518	0.21338	0.462012	1.14317	827.405	5382.7	356.139	0	0.84624	884.399	5615.42	1	1	-1	2292	0	0
1	0.62582	-1.02272	-0.99714	-0.67219	868.337	5320.05	345.615	0	1.09806	852.694	5665.01	1	1	-1	2307	0	0
1	-0.33562	-1.15277	-1.09764	0.35366	2129.16	25078.4	364.583	0	0.97402	806.499	26134.7	1	3	-1	2312	0	0
1	0.35995	-0.9462	-0.899452	-0.390931	1070.62	6609.17	346.924	0	1.08186	821.43	6849.94	1	1	-1	2322	0	0
1	-0.52622	-1.08409	-1.0122	0.554993	648.212	3920.82	343.406	0	1.04205	834.588	4054.22	1	1	-1	2332	0	0
1	1.17703	-0.71158	-0.675588	-1.26541	2060.27	29923.7	350.923	0	1.09116	829.537	30760	1	3	-1	2352	0	0
1	0.7863	0.66947	0.883126	-0.879318	618.947	3456.73	329.977	0	0.87791	811.409	3706.95	1	1	-1	2382	0	0
1	0.28444	-0.8141	-0.74859	-0.313416	973.623	5722.94	338.526	0	0.85969	869.466	5901.18	1	1	-1	2387	0	0
0	0.02165	0.89809	1.17361	-0.0705878	306.071	2465.91	283.718	0	1.02634	731.252	3032.27	1	2	-1	2394	0	0
1	-0.72093	0.24749	0.482244	0.733576	999.547	9908.16	439.616	0	0.70799	844.173	9969.54	1	1	-1	2447	0	0
1	-0.45813	-0.35003	-0.196488	0.466766	1778.48	18524.3	450.635	0	1.07182	999.897	22049.1	1	1	-1	2457	0	0
0	0.74846	0.64988	0.863033	-0.838626	507.54	11590.3	355.061	0	0.9784	669.182	12038.1	1	2	-1	2554	0	0
1	-1.36522	-0.00816	0.22692	1.42464	652.372	3610.52	328.485	0	0.93348	666.668	3765.28	1	1	-1	2737	0	0
1	0.36943	-0.69052	-0.614674	-0.406505	2558.61	19143.4	381.931	0	1.24442	798.166	19367.9	1	1	-1	2867	0	0
0	0.50375	0.65001	0.874514	-0.578243	1407.91	7743.82	327.468	0	0.99331	761.901	8205.86	1	1	-1	2868	0	0
1	0.41173	0.60739	0.831235	-0.479405	1066.66	6211.03	336.935	0	1.08066	703.424	6441.25	1	1	-1	2892	0	0
1	-0.72656	0.62931	0.908448	0.731356	1902.37	15814.5	331.181	0	1.00904	717.52	16362.1	1	2	-1	2977	0	0
1	-0.50734	-1.20726	-1.15046	0.537556	1404.21	25597.8	381.626	0	1.04881	695.683	26427.6	1	3	-1	2997	0	0
1	1.252	0.20347	0.34171	-1.36484	669.32	5202.87	389.298	0	0.90904	765.599	5756.67	1	1	-1	3007	0	0
1	1.10994	-0.72103	-0.683023	-1.19382	753.101	87686.9	344.969	0	0.99964	740.005	90403.3	1	7	-1	3017	0	0
1	0.32846	-1.09062	-1.05909	-0.35431	1389.62	8690.34	349.179	0	0.98438	709.965	8860.69	1	1	-1	3032	0	0
1	1.10319	-0.72891	-0.691503	-1.18647	1309.03	37569	357.852	0	0.98204	700.142	38656.1	1	4	-1	3037	0	0
1	0.51198	0.66466	0.890479	-0.587316	1496.09	9681.48	355.198	0	0.91216	752.931	10245.4	1	1	-1	3132	0	0
1	0.30949	0.66743	0.90295	-0.371914	388.592	2691.6	367.483	0	1.09688	694.372	3149.78	1	1	-1	3142	0	0
1	0.54217	0.68152	0.907881	-0.619809	1306.08	6247.24	305.378	0	0.92181	691.262	6438.16	1	1	-1	3317	0	0
1	0.72278	0.66714	0.883479	-0.811672	1563.17	15354.4	332.518	0	0.966	709.264	15979.1	1	2	-1	3392	0	0
1	0.25456	-1.01195	-0.967909	-0.277367	1505.24	9626.01	353.101	0	1.06484	695.927	9892.56	1	1	-1	3397	0	0
1	0.31666	0.58861	0.8147	-0.377847	442.415	3549.56	395.504	0	0.96233	626.348	3749.94	1	1	-1	3447	0	0
1	-1.37338	0.11197	0.361311	1.43075	940.429	12323.4	351.944	0	1.05281	681.826	12860.1	1	2	-1	3467	0	0
1	0.45428	0.60087	0.822001	-0.524554	1461.69	14278.4	341.207	0	0.91422	678.273	14853.2	1	2	-1	3472	0	0
1	0.74676	0.62517	0.835549	-0.836304	923.058	4785.49	317.927	0	1.04611	696.062	5024.99	1	1	-1	3497	0	0
1	-0.78453	-0.01534	0.192006	0.806898	1248.27	6857.55	327.272	0	1.11358	671.813	7016.17	1	1	-1	3502	0	0
1	0.34384	-1.01485	-0.975291	-0.37231	742.091	5523.71	380.948	0	0.9381	648.931	5790.38	1	1	-1	3632	0	0
1	-0.93558	0.24531	0.489771	0.962013	703.866	4217.08	341.774	0	0.82816	633.165	4447.89	1	1	-1	3657	0	0
0	-0.94998	-0.72687	-0.594074	0.998234	765.797	4551.09	340.392	0	1.07611	675.722	4717.63	1	1	-1	3669	0	0
1	0.65692	0.69592	0.918634	-0.74222	884.421	6848.47	388.549	0	0.97387	666.329	7124.87	1	1	-1	3737	0	0
1	0.09057	0.91638	1.19081	-0.144313	625.623	3691.76	339.187	0	0.92239	659.185	3950.93	1	1	-1	3767	0	0
1	0.74789	0.70327	0.922613	-0.839181	1490.07	8164.58	326.845	0	0.94987	693.681	8422.65	1	1	-1	3782	0	0
1	-0.29326	-1.12872	-1.07279	0.308063	152.836	3170.23	418.786	0	1.22011	647.685	3397.83	1	2	-1	3887	0	0
1	-1.10181	0.25409	0.507257	1.13871	443.045	3028.93	365.089	0	0.91588	644.48	3264.48	1	1	-1	3927	0	0
1	0.49165	0.62883	0.851449	-0.564916	1215.53	8078.07	333.022	0	0.94605	661.375	8544.27	1	2	-1	3992	0	0
1	0.80432	0.78451	1.01062	-0.900973	1071.19	4624.71	290.126	0	0.93462	672.309	4833.84	1	1	-1	4002	0	0
1	1.09979	-0.7462	-0.710625	-1.18247	2406.17	22998.7	349.962	0	1.00016	709.037	23659.4	1	2	-1	4012	0	0
1	0.22955	-0.90546	-0.847961	-0.253047	863.517	19046.2	371.114	0	1.07647	661.316	19679.5	1	3	-1	4042	0	0
1	-0.86075	0.11786	0.344116	0.885132	823.084	4720.55	334.389	0	0.93666	670.344	4905.13	1	1	-1	4107	0	0
1	-1.05158	-0.17384	0.0275608	1.09446	1758.3	21930.8	356.613	0	1.05997	703.951	22592.8	1	2	-1	4232	0	0
0	-0.48313	-1.09018	-1.021	0.509267	557.148	3266.95	338.115	0	0.86962	642.23	3453.72	1	1	-1	4235	0	0
1	-1.33528	-0.00137	0.233108	1.39264	951.446	6659.83	369.418	0	0.92324	652.474	6860.77	1	1	-1	4297	0	0
1	0.71605	0.77424	1.00326	-0.806815	1234.98	6982.99	332.024	0	1.0913	693.632	7203.01	1	1	-1	4322	0	0
0	-0.99668	0.23454	0.480581	1.02726	782.202	4601.02	338.646	0	1.05749	665.012	4896.4	1	1	-1	4333	0	0
0	0.9832	0.21244	0.364174	-1.07902	276.25	4572.09	369.956	0	1.11555	640.778	4953.8	1	2	-1	4385	0	0
1	-0.91724	0.09279	0.318778	0.94578	1439.87	10935.4	331.636	0	0.96365	674.049	11441.2	1	2	-1	4427	0	0
1	-0.52103	-0.30569	-0.144104	0.532738	323.155	5791.13	591.091	0	0.44667	613.142	5239.04	1	1	-1	4527	0	0
1	-0.7029	0.65216	0.93283	0.705679	777.138	4655.54	341.755	0	0.99979	659.818	4817.91	1	1	-1	4642	0	0
1	0.933	-0.52494	-0.456081	-1.00975	3263.24	38757.3	376.029	0	1.07343	730.697	39733.7	1	2	-1	4697	0	0
1	-1.37723	0.02105	0.260072	1.43679	165.631	5381.52	335.691	0	0.91698	651.332	5816.44	1	2	-1	4887	0	0
0	-0.30889	-1.27433	-1.23449	0.327825	2178.06	15529.7	357.86	0	1.01592	672.299	15895.7	1	2	-1	4938	0	0
0	0.96222	-0.72883	-0.684879	-1.03646	1256.88	14558.8	396.879	0	1.07406	626.5	15007	1	2	-1	5050	0	0
1	-0.24924	0.85969	1.14332	0.218496	630.689	3347.5	321.685	0	0.93943	663.571	3544.02	1	1	-1	5082	0	0
0	-0.79039	-0.16119	0.0295785	0.816264	319.163	3050.98	431.709	0	1.213	670.089	3159.62	1	1	-1	5138	0	0
1	-0.91402	-0.12394	0.0768545	0.947008	982.415	6291.85	353.362	0	1.11706	675.79	6629.28	1	1	-1	5357	0	0
1	0.96121	0.09419	0.233278	-1.05308	1290.4	15059.7	352.484	0	1.10826	669.593	15605.9	1	2	-1	5377	0	0
1	-0.28636	0.91189	1.20327	0.25688	1032.82	17394.8	329.195	0	0.99159	667.102	18031	1	3	-1	5397	0	0
1	0.75	0.66214	0.87663	-0.840531	769.346	4381.28	333.21	0	1.13605	645.506	4646.22	1	1	-1	5527	0	0
1	1.02009	0.4609	0.63963	-1.12361	1195.66	8008.23	317.575	0	0.96655	648.251	8452.38	1	2	-1	5547	0	0
0	0.15942	-1.2645	-1.24524	-0.170705	495.062	2834.53	334.11	0	0.8909	656.926	3005.64	1	1	-1	5559	0	0
1	-0.918	0.03865	0.258412	0.947751	824.754	4842.16	338.326	0	1.00711	606.056	5185.24	1	1	-1	5732	0	0
0	0.63966	0.90459	1.15221	-0.728336	914.65	5310.31	336.443	0	1.05798	638.789	5506.36	1	1	-1	5758	0	0
0	1.01967	0.58597	0.779162	-1.12585	866.501	8317.58	332.028	0	0.99514	636.729	8690.59	1	2	-1	6035	0	0
1	-0.25994	1.00678	1.3079	0.226717	1397.22	8345.99	341.259	0	0.96113	683.974	8610.25	1	1	-1	6097	0	0
1	1.05881	0.31984	0.48048	-1.16177	1531.39	11977.8	327.961	0	1.05615	641.328	12471.8	1	2	-1	6182	0	0
1	-0.80977	0.62362	0.90596	0.820019	949.077	5171.96	325.953	0	1.06445	636.271	5365.7	1	1	-1	6297	0	0
1	0.10766	0.8444	1.10972	-0.160953	873.632	15027	331.975	0	1.01185	663.264	15582.1	1	2	-1	6322	0	0
1	0.51529	1.09054	1.36542	-0.599987	423.275	2472.19	337.449	0	0.90716	588.754	2684.03	1	1	-1	6367	0	0
0	1.06329	-0.08438	0.0293402	-1.15787	891.115	5200.91	337.327	0	1.08243	629.701	5423.65	1	1	-1	6540	0	0
0	-0.88071	0.37368	0.630418	0.900878	388.158	11711.9	355.748	0	1.01398	628.62	12530.5	1	4	-1	6548	0	0
1	-0.66452	0.65243	0.931358	0.664841	520.155	21809.5	345.69	0	1.02923	637.307	22461.9	1	4	-1	6582	0	0
0	1.15298	0.44509	0.615838	-1.26468	1235.88	17670.7	314.245	0	1.1053	640.438	18702.1	1	4	-1	6748	0	0
1	0.76205	0.64928	0.861733	-0.853093	871.101	4594.95	320.689	0	0.92594	618.758	4807.84	1	1	-1	6767	0	0
0	0.47563	0.73962	0.975784	-0.550253	283.568	25360	334.647	0	1.06157	635.046	26161.1	1	4	-1	6769	0	0
0	1.0963	-0.02621	0.0927106	-1.19424	866.918	11581.2	358.723	0	0.9803	645.918	11962	1	2	-1	6833	0	0
0	0.25191	-1.05649	-1.01748	-0.273587	239.527	11577.1	346.638	0	1.09031	621.32	12219	1	3	-1	6993	0	0
0	-0.70172	-0.83699	-0.728421	0.736432	382.55	3805.35	440.384	0	0.89189	631.249	3958.82	1	1	-1	7043	0	0
1	0.68414	0.56077	0.766612	-0.76828	638.41	2816.35	293.273	0	1.31155	615.663	2987.5	1	1	-1	7047	0	0
1	0.77919	0.16353	0.319067	-0.860881	624.144	5474.85	413.544	0	0.89123	620.867	5926.5	1	1	-1	7092	0	0
0	-0.44449	1.08764	1.40665	0.421353	196.079	4851.03	312.25	0	0.87304	634.979	5277.05	1	2	-1	7093	0	0
1	0.68127	0.66362	0.881467	-0.767436	782.211	5781.03	379.594	0	1.13441	626.628	6006.25	1	1	-1	7207	0	0
0	0.78467	0.61119	0.818193	-0.876323	665.404	4739.35	372.645	0	0.9252	628.956	4926.16	1	1	-1	7255	0	0
1	0.28297	-1.05425	-1.01641	-0.306688	539.564	7452.04	364.148	0	0.95635	632.453	7819.58	1	2	-1	7267	0	0
1	-0.63492	-0.67955	-0.555883	0.661965	728.016	5040.6	320.791	0	1.07411	630.168	5522.49	1	2	-1	7302	0	0
0	-0.43532	-1.23098	-1.18028	0.46143	1846.95	12173.8	358.479	0	1.0191	654.587	12455.2	1	1	-1	7355	0	0
1	0.52875	0.91126	1.16479	-0.610454	1215.21	7375.32	343.988	0	0.99356	651.679	7782.74	1	1	-1	7357	0	0
1	0.35126	-1.04578	-1.01013	-0.379537	1049.4	5366.43	315.755	0	0.94543	645.64	5639.65	1	1	-1	7432	0	0
