Cas16748	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	0.71588	0.80658	-1.17265	-0.418876	718.197	3973.09	328.413	0	1.01956	711.313	4175.69	1	1	-1	215	0	0
0	0.99118	0.4413	-1.20943	0.0876238	553.588	3266.66	339.185	0	1.19409	688.211	3498.67	1	1	-1	263	0	0
1	-0.49457	-0.93446	0.918257	0.551819	342.305	3177.69	425.429	0	1.19316	669.234	3472.52	1	1	-1	277	0	0
0	-0.59094	0.75263	0.032436	-1.11507	291.176	4194.08	299.15	0	1.30916	716.343	4520.43	1	2	-1	359	0	0
1	1.15541	-0.67796	-0.711841	1.25086	433.507	2987.39	366.544	0	1.19396	638.982	3270.88	1	1	-1	532	0	0
1	0.90129	-0.06362	-0.837649	0.518557	599.338	10596.9	343.291	0	1.03951	683.971	11050.9	1	2	-1	542	0	0
0	0.66788	0.67642	-1.0545	-0.321989	1304.94	7866.07	342.817	0	0.96885	729.364	8224.16	1	1	-1	559	0	0
0	-1.09154	0.22191	0.788031	-0.894477	270.08	3088.13	472.15	0	1.10138	677.191	3189.63	1	1	-1	723	0	0
0	0.69591	-0.51782	-0.391345	0.834954	348.904	2612.21	382.058	0	0.90508	687.062	2834.95	1	1	-1	758	0	0
1	1.09671	-0.69046	-0.651905	1.22922	1243.58	9413.05	347.731	0	1.13605	683.318	9745.86	1	2	-1	912	0	0
0	-0.33826	-1.17322	0.915459	0.869359	802.655	5697.5	372.011	0	0.99086	685.771	5943.25	1	1	-1	1189	0	0
0	-0.91388	0.32911	0.566657	-0.895226	561.012	3059.86	326.094	0	1.0557	661.874	3262.19	1	1	-1	1209	0	0
0	-0.46256	-1.13494	1.00505	0.761668	794.029	8727.82	407.164	0	0.98441	660.062	8951.9	1	2	-1	1248	0	0
0	-0.39346	-0.94831	0.835419	0.622912	700.914	3870.83	328.132	0	0.95715	688.905	3996.63	1	1	-1	1273	0	0
0	0.26726	-0.98863	0.265091	1.03947	600.929	6339.5	378.429	0	1.24066	650.838	6667.86	1	2	-1	1294	0	0
0	-0.64693	0.65326	0.140003	-1.05217	942.775	34380.4	330.163	0	1.00909	704.094	35432.6	1	4	-1	1314	0	0
0	-0.97157	-0.83341	1.28854	0.182363	794.842	4731.98	340.69	0	0.94476	688.17	4918.67	1	1	-1	1438	0	0
1	0.40913	0.7586	-0.869427	-0.548541	1578.19	14845.6	388.241	0	1.08028	821.341	16326.6	1	2	-1	1492	0	0
1	1.1476	-0.74645	-0.665347	1.31183	2111.64	20334.3	369.985	0	0.98492	823.291	20901.5	1	2	-1	1527	0	0
1	0.41147	-0.97261	0.126314	1.10668	1735.96	15762.1	354.098	0	1.01477	841.941	16190.7	1	2	-1	1547	0	0
0	0.89624	0.86577	-1.36879	-0.372212	578.972	3371.28	336.936	0	0.97902	782.604	3653.39	1	1	-1	1578	0	0
1	-0.37073	-1.13303	0.921463	0.812384	784.42	20331.2	366.538	0	1.07779	886.023	21528.6	1	3	-1	1587	0	0
1	-0.7676	0.09237	0.571688	-0.585366	1559.96	8341.53	322.883	0	1.01466	908.732	8940.16	1	1	-1	1597	0	0
1	0.23605	-0.99079	0.294379	1.02369	1093.63	7492.99	365.486	0	1.02183	866.917	7864.07	1	1	-1	1602	0	0
1	0.50525	0.58629	-0.856455	-0.328927	1842.99	19455.5	336.718	0	0.98689	829.758	19899.7	1	2	-1	1612	0	0
1	0.17337	0.95724	-0.772126	-0.873216	193.722	39712.7	327.819	0	1.02093	822.976	40776.7	1	4	-1	1617	0	0
1	1.1215	-0.70178	-0.667651	1.25422	1258.87	25283.5	363.823	0	1.04205	823.682	25882.8	1	3	-1	1622	0	0
0	1.13653	-0.56961	-0.75733	1.13656	614.029	2887.51	302.793	0	0.87518	791.929	3070.45	1	1	-1	1633	0	0
