Cas38694	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.754787	0.251367	0.66004	0.48337	496.028	4408.28	498.923	1	1	350	5560.61	1	1	-1	1	47.265	47.265
1	-0.717628	0.171086	0.57325	0.500495	473.056	3507.53	428.64	1	1	350	1439.39	1	1	-1	1	60.3991	60.3991
1	-0.747151	0.248512	0.653242	0.47887	518.222	3193.8	470.042	1	1	350	4492.22	1	1	-1	1	83.1343	83.1343
1	-0.504228	0.104479	0.39393	0.367002	317.96	2638.2	456.3	1	1	350	4059.37	1	1	-1	1	-13.1874	-13.1874
1	-0.717946	0.18967	0.588472	0.489829	300.478	3744.09	624.837	1	1	350	5698.24	1	1	-1	1	-145.31	-145.31
1	-0.685508	0.122303	0.514904	0.503184	495.265	2601.09	587.192	1	1	350	3671.23	1	1	-1	1	92.3004	92.3004
1	-0.824746	0.328702	0.763726	0.494511	450.31	6293.75	540.174	1	1	350	2282.66	1	1	-1	1	162.087	162.087
1	-0.682676	0.142715	0.529753	0.488895	346.156	4987.99	359.962	1	1	350	4496.91	1	1	-1	1	8.70711	8.70711
1	-0.839671	0.322913	0.767816	0.509989	422.324	3366.89	181.69	1	1	350	4409.7	1	1	-1	1	-17.8562	-17.8562
1	-1.13144	0.253828	0.883422	0.786642	414.523	5547.06	334.059	1	1	350	3260.98	1	1	-1	1	-89.9584	-89.9584
1	-0.955307	0.1698	0.711914	0.693538	307.09	3985.5	465.466	1	1	350	4372.09	1	1	-1	1	-46.866	-46.866
1	-1.0454	0.149439	0.748397	0.778392	388.096	3850.57	441.683	1	1	350	4329.08	1	1	-1	1	22.4205	22.4205
1	-0.63304	0.429774	0.732813	0.280009	391.947	4266.64	458.787	1	1	350	4487.2	1	1	-1	1	57.0341	57.0341
1	-0.925592	0.0431054	0.59195	0.743967	459.339	3711.43	544.102	1	1	350	2380.75	1	1	-1	1	-16.5191	-16.5191
1	-1.12598	0.119735	0.771729	0.861042	392.972	4104.27	310.452	1	1	350	3917.35	1	1	-1	1	-6.2201	-6.2201
1	-0.884125	0.133055	0.640347	0.657548	507.236	3188.96	275.961	1	1	350	5334.19	1	1	-1	1	-90.7975	-90.7975
1	-0.741898	-0.178447	0.304737	0.725581	393.809	3812.84	426.692	1	1	350	2388.08	1	1	-1	1	-63.7155	-63.7155
1	-0.753776	0.0248582	0.476196	0.61569	336.73	3718.38	405.301	1	1	350	5489.88	1	1	-1	1	-24.816	-24.816
1	-0.753504	0.375962	0.760086	0.409097	421.739	5456.6	375.125	1	1	350	5277.22	1	1	-1	1	-57.6076	-57.6076
1	-0.819477	0.36682	0.791467	0.467843	490.369	3613.55	463.025	1	1	350	3974.35	1	1	-1	1	-55.7812	-55.7812
1	-1.04719	0.114476	0.721163	0.800391	427.796	5090.21	348.036	1	1	350	3666.23	1	1	-1	1	-134.04	-134.04
1	-0.630765	0.148484	0.503908	0.443507	334.586	3819.9	340.705	1	1	350	3907.55	1	1	-1	1	-53.4435	-53.4435
1	-0.917191	0.447684	0.914323	0.499365	277.201	4724.84	448.596	1	1	350	2625.98	1	1	-1	1	88.6921	88.6921
1	-0.885856	0.0531679	0.576734	0.705905	388.987	2548.9	310.95	1	1	350	4796.14	1	1	-1	1	-88.3863	-88.3863
1	-0.667618	0.00898284	0.412711	0.555318	267.766	4222.75	410.017	1	1	350	2495.89	1	1	-1	1	-76.8079	-76.8079
1	-1.09155	0.182966	0.802647	0.796022	424.012	5271.44	358.008	1	1	350	4087.57	1	1	-1	1	101.013	101.013
1	-1.14409	0.259851	0.89573	0.793336	568.604	3856.24	390.771	1	1	350	3617.75	1	1	-1	1	-53.2305	-53.2305
1	-0.889765	0.464968	0.912185	0.467018	345.262	3472.88	454.841	1	1	350	4518.12	1	1	-1	1	17.8844	17.8844
1	-0.632134	0.230612	0.571155	0.396341	497.684	3573.05	470.806	1	1	350	4253.86	1	1	-1	1	-56.8436	-56.8436
1	-0.868814	0.353934	0.810042	0.515332	414.935	4000.6	424.739	1	1	350	2811.5	1	1	-1	1	-79.3518	-79.3518
1	-0.691668	0.381425	0.728159	0.355859	294.478	3638.57	338.175	1	1	350	2771.35	1	1	-1	1	-71.5347	-71.5347
1	-0.819347	0.339556	0.769334	0.483764	442.124	3288.99	393.444	1	1	350	2796.74	1	1	-1	1	16.6266	16.6266
1	-0.701935	0.4215	0.766615	0.34061	392.624	3363.05	463.788	1	1	350	3756.71	1	1	-1	1	75.7716	75.7716
1	-0.755845	0.122948	0.556769	0.559708	275.93	4433.79	313.569	1	1	350	2386.34	1	1	-1	1	43.1049	43.1049
