Cas9383	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.234474	0.735231	-0.73284	0.116454	471.814	2415.37	245.985	1	1	350	3711.32	1	1	-1	1	29.1676	29.1676
1	0.490129	0.825371	-0.861863	0.354861	354.227	4320.23	317.001	1	1	350	2152.15	1	1	-1	1	-20.382	-20.382
1	0.498742	0.730842	-0.769846	0.378155	468.138	3488.49	219.162	1	1	350	2606.19	1	1	-1	1	-23.0262	-23.0262
1	0.473062	0.767475	-0.80201	0.347061	465.037	2701.96	442.326	1	1	350	5222.61	1	1	-1	1	26.9708	26.9708
1	0.342242	0.79809	-0.811784	0.213062	334.15	3559.46	421.163	1	1	350	4915.63	1	1	-1	1	12.6312	12.6312
1	0.267767	0.764259	-0.766719	0.144796	203.823	3514.15	524.768	1	1	350	3198.89	1	1	-1	1	-1.11228	-1.11228
1	0.305369	0.791792	-0.799795	0.177628	408.728	5458.32	294.683	1	1	350	3798.5	1	1	-1	1	41.0033	41.0033
1	0.265367	0.788377	-0.790164	0.138653	479.734	3901.8	372.418	1	1	350	3671.83	1	1	-1	1	-16.6903	-16.6903
1	0.409456	0.914652	-0.937425	0.261214	745.475	4754.98	258.561	1	1	350	5087.28	1	1	-1	1	3.04798	3.04798
1	0.267619	0.629715	-0.633808	0.165697	484.887	4455.1	495.81	1	1	350	2841.44	1	1	-1	1	47.4835	47.4835
1	0.441928	0.741825	-0.771806	0.320323	365.233	4468.16	535.772	1	1	350	2732.06	1	1	-1	1	48.3394	48.3394
1	0.254952	0.797562	-0.797607	0.126929	311.292	4284.75	494.164	1	1	350	4600.15	1	1	-1	1	75.5523	75.5523
1	0.400721	0.766382	-0.789614	0.275781	363.677	2284.64	521.106	1	1	350	4316.35	1	1	-1	1	-4.27617	-4.27617
1	0.418258	0.839596	-0.86467	0.281649	496.985	4856.86	298.526	1	1	350	3620.92	1	1	-1	1	11.5352	11.5352
1	0.387802	0.763891	-0.785133	0.263411	519.168	4459.5	288.919	1	1	350	4683.39	1	1	-1	1	11.0952	11.0952
1	0.40979	0.82004	-0.84403	0.276345	209.149	4419.95	504.029	1	1	350	1785.75	1	1	-1	1	-91.1291	-91.1291
1	0.249032	0.747909	-0.747639	0.12885	434.972	3908.27	295.622	1	1	350	5137.97	1	1	-1	1	-32.7994	-32.7994
1	0.463683	0.655236	-0.689686	0.355355	385.913	2878.08	674.115	1	1	350	3444.6	1	1	-1	1	39.4023	39.4023
1	0.415383	0.739632	-0.765487	0.294447	472.534	3587.67	282.759	1	1	350	2136.67	1	1	-1	1	-6.50293	-6.50293
1	0.348055	0.931373	-0.944335	0.197953	321.397	5908.54	527.659	1	1	350	2843.3	1	1	-1	1	-39.5321	-39.5321
