Cas6305	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	1.15928	0.77217	1.15928	0.77217	1241.1	7279.71	338.129	0	1.27489	373.591	7629.02	1	1	-1	8	14.4428	14.4428
0	1.24168	0.89856	1.24168	0.89856	955.515	5590.35	337.795	0	1.16531	353.424	5900.21	1	1	-1	9	-34.2652	-34.2652
0	-1.20482	0.01475	-1.20482	0.01475	265.142	1721.22	355.791	0	1.38273	310.252	1993.14	1	1	-1	80	86.7668	86.7668
0	-0.54717	1.0854	-0.54717	1.0854	475.7	3917.1	402.773	0	1.31757	315.413	4247.98	1	1	-1	99	200.419	200.419
1	-1.09435	0.56273	-1.09435	0.56273	354.973	3041.9	409.613	0	1.52611	278.56	3301.74	1	1	-1	122	281.64	281.64
0	-1.0363	0.61549	-1.0363	0.61549	565.771	3543.51	349.423	0	1.28753	344.126	3839.81	1	1	-1	123	33.6738	33.6738
0	1.01384	0.55154	1.01384	0.55154	369.469	2624.86	367.783	0	1.24995	308.299	3006.15	1	1	-1	260	45.7758	45.7758
0	-1.76778	0.12611	-1.76778	0.12611	534.354	3273.54	338.748	0	1.10489	304.329	3664.88	1	1	-1	280	-63.4053	-63.4053
1	1.36058	-0.46135	1.36058	-0.46135	544.163	3887.21	367.468	0	1.06746	286.261	4155.56	1	1	-1	282	-97.3491	-97.3491
0	-1.24364	-0.13358	-1.24364	-0.13358	238.167	2462.26	463.236	0	0.75597	282.985	2866.19	1	1	-1	315	-301.766	-301.766
1	-2.05306	0.55015	-2.05306	0.55015	115.59	1418.18	488.143	0	1.41331	270.795	2283.79	1	1	-1	357	461.395	461.395
0	-0.52092	-0.3786	-0.52092	-0.3786	541.326	5555.17	449.794	0	0.80211	291.311	5950.79	1	1	-1	364	-283.56	-283.56
0	-1.15004	-0.23578	-1.15004	-0.23578	605.476	9447.92	551.871	0	0.78173	303.22	10027.3	1	1	-1	398	-369.251	-369.251
0	-1.4066	-0.02573	-1.4066	-0.02573	670.479	7702.54	479.76	0	0.79673	291.012	8288.99	1	1	-1	399	-310.917	-310.917
1	0.26652	-0.60762	0.26652	-0.60762	268.982	2142.29	395.854	0	0.61315	304.459	2315.37	1	1	-1	407	-261.553	-261.553
0	0.79985	-0.64691	0.79985	-0.64691	441.517	3952.37	420.791	0	0.93791	291.114	4222.81	1	1	-1	470	-230.183	-230.183
1	-0.89464	0.77161	-0.89464	0.77161	531.288	4139.43	396.272	0	1.46495	286.222	4479.99	1	1	-1	522	231.561	231.561
0	0.93419	-0.38083	0.93419	-0.38083	721.656	5483.95	384.939	0	1.0807	297.534	5789.84	1	1	-1	574	-101.212	-101.212
0	0.90077	-0.37419	0.90077	-0.37419	842.119	6172.67	375.321	0	1.16989	303.099	6642.79	1	1	-1	575	-3.80853	-3.80853
0	-0.48052	0.71251	-0.48052	0.71251	427.44	3283.99	387.956	0	1.13262	303.285	3669.05	1	1	-1	608	-36.7073	-36.7073
1	-0.72771	0.54433	-0.72771	0.54433	162.152	1352.3	411.283	0	1.72725	269.409	1602.21	1	1	-1	622	324.732	324.732
0	-1.22179	-0.18515	-1.22179	-0.18515	309.963	1689.46	321.503	0	1.56591	306.233	1839.5	1	1	-1	635	82.4995	82.4995
0	-1.05693	0.46289	-1.05693	0.46289	878.375	5054.83	333.067	0	1.42452	347.63	5254.67	1	1	-1	663	61.4733	61.4733
0	-0.80043	0.09422	-0.80043	0.09422	994.925	7785.09	389.575	0	1.4035	322.181	8287.58	1	1	-1	685	189.601	189.601
1	-0.5859	-0.52367	-0.5859	-0.52367	779.527	6269.52	394.357	0	1.14575	290.858	6678.94	1	1	-1	687	-3.78106	-3.78106
0	-0.66594	-0.55917	-0.66594	-0.55917	595.106	4617.47	386.451	0	1.05784	295.608	4918.73	1	1	-1	688	-130.73	-130.73
0	0.90263	-0.59422	0.90263	-0.59422	1009.57	11568.2	484.441	0	0.81928	308.121	12148.2	1	1	-1	705	-313.287	-313.287
0	1.49192	-0.57622	1.49192	-0.57622	717.097	5419.57	383.991	0	1.03932	295.093	5765.46	1	1	-1	818	-143.932	-143.932
0	-0.58968	-0.74367	-0.58968	-0.74367	254.006	1620.33	352.79	0	1.06793	292.038	1825.14	1	1	-1	840	-88.0733	-88.0733
1	-0.4117	-0.6678	-0.4117	-0.6678	247.271	2870.24	469.572	0	0.78718	268.889	3277.56	1	1	-1	862	-305.202	-305.202
0	-0.01735	-0.57918	-0.01735	-0.57918	864.578	8032.82	425.982	0	0.78639	303.515	8628.58	1	1	-1	863	-265.037	-265.037
0	-1.28566	0.02129	-1.28566	0.02129	409.459	3599.89	417.734	0	1.41909	299.189	3895.09	1	1	-1	865	279.19	279.19
0	1.49766	-0.31926	1.49766	-0.31926	475.912	3571.56	383.24	0	1.28812	299.618	3874.05	1	1	-1	904	113.472	113.472
1	0.88069	-0.69797	0.88069	-0.69797	281.326	1678.35	340.695	0	1.355	270.751	1929.19	1	1	-1	1002	46.9089	46.9089
0	-1.04268	0.68817	-1.04268	0.68817	808.163	5965.04	381.489	0	1.3371	305.907	6349.89	1	1	-1	1033	133.948	133.948
0	-0.91433	0.65883	-0.91433	0.65883	651.599	4163.98	352.93	0	1.22566	310.765	4464.5	1	1	-1	1035	5.53266	5.53266
0	-1.12828	0.30241	-1.12828	0.30241	1374.12	8347.67	344.139	0	1.25828	339.282	8791.18	1	1	-1	1040	11.4294	11.4294
1	-1.08608	0.19911	-1.08608	0.19911	1052.41	7124.3	364.381	0	1.32444	312.097	7592.88	1	1	-1	1042	79.3225	79.3225
0	-1.26525	0.27162	-1.26525	0.27162	737.993	5481.36	381.182	0	1.12367	299.658	5759.78	1	1	-1	1043	-53.519	-53.519
0	-1.12633	0.22163	-1.12633	0.22163	524.174	2409.75	299.387	0	0.9616	310.644	2606.47	1	1	-1	1044	-106.656	-106.656
0	1.33894	-0.1451	1.33894	-0.1451	182.485	1388.95	385.002	0	0.961	278.857	1603	1	1	-1	1110	-185.279	-185.279
1	-1.06444	0.59759	-1.06444	0.59759	199	1401.74	370.842	0	1.02283	295.929	1600.48	1	1	-1	1122	-135.887	-135.887
0	-1.0526	0.51996	-1.0526	0.51996	884.889	5155.62	336.956	0	1.02893	388.435	5671.68	1	1	-1	1123	-100.442	-100.442
0	-0.97206	0.49544	-0.97206	0.49544	733.451	4429.18	341.499	0	1.36751	365.571	5014.05	1	1	-1	1124	53.0827	53.0827
0	1.00682	0.19366	1.00682	0.19366	247.724	1255.55	314.663	0	1.10981	291.508	1501.11	1	1	-1	1238	-58.1818	-58.1818
0	1.27403	0.21509	1.27403	0.21509	726.505	4749.62	351.397	0	1.25407	331.062	5196.08	1	1	-1	1239	21.5432	21.5432
0	0.18769	-0.70888	0.18769	-0.70888	280.575	1935.25	370.637	0	0.70603	293.616	2156.2	1	1	-1	1340	-222.019	-222.019
1	0.01307	-0.65506	0.01307	-0.65506	734.797	6471.08	418.464	0	0.70278	322.291	7123.64	1	1	-1	1342	-265.362	-265.362
1	0.86842	-0.90828	0.86842	-0.90828	1452.73	13549.9	479.053	0	1.68207	332.658	16943.5	1	1	-1	1402	487	487
0	1.03599	-0.5074	1.03599	-0.5074	1819.65	13902.2	388.547	0	1.28127	389.236	16950.2	1	1	-1	1403	135.748	135.748
0	0.99134	-0.375	0.99134	-0.375	2063.35	13861.8	361.817	0	1.07667	377.57	14753.1	1	1	-1	1404	-81.1869	-81.1869
0	1.00575	-0.27849	1.00575	-0.27849	1700.43	11559.1	363.948	0	1.20026	326.333	12204.7	1	1	-1	1405	10.3616	10.3616
1	1.0164	-0.34548	1.0164	-0.34548	872.096	5861.3	361.771	0	1.15109	310.572	6271.96	1	1	-1	1407	-27.9412	-27.9412
