Cas6305	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	1.28942	-0.32759	1.28942	-0.32759	1241.1	7279.71	338.129	0	1.27489	373.591	7629.02	1	1	-1	8	14.4428	4.98144
0	1.42203	-0.303458	1.42203	-0.303458	955.515	5590.35	337.795	0	1.16531	353.424	5900.21	1	1	-1	9	-34.2652	-45.1508
0	-0.953736	0.714224	-0.953736	0.714224	265.142	1721.22	355.791	0	1.38273	310.252	1993.14	1	1	-1	80	86.7668	86.3754
0	0.279967	1.10155	0.279967	1.10155	475.7	3917.1	402.773	0	1.31757	315.413	4247.98	1	1	-1	99	200.419	186.681
1	-0.453887	1.10427	-0.453887	1.10427	354.973	3041.9	409.613	0	1.52611	278.56	3301.74	1	1	-1	122	281.64	274.084
0	-0.441667	1.03108	-0.441667	1.03108	565.771	3543.51	349.423	0	1.28753	344.126	3839.81	1	1	-1	123	33.6738	26.0783
0	1.04242	-0.384551	1.04242	-0.384551	369.469	2624.86	367.783	0	1.24995	308.299	3006.15	1	1	-1	260	45.7758	38.9314
0	-1.33782	1.12899	-1.33782	1.12899	534.354	3273.54	338.748	0	1.10489	304.329	3664.88	1	1	-1	280	-63.4053	-64.7903
1	0.585824	-1.40985	0.585824	-1.40985	544.163	3887.21	367.468	0	1.06746	286.261	4155.56	1	1	-1	282	-97.3491	-91.4801
0	-1.18522	0.515145	-1.18522	0.515145	238.167	2462.26	463.236	0	0.75597	282.985	2866.19	1	1	-1	315	-301.766	-299.4
1	-1.1268	1.78969	-1.1268	1.78969	115.59	1418.18	488.143	0	1.41331	270.795	2283.79	1	1	-1	357	461.395	453.555
0	-0.806834	-0.144698	-0.806834	-0.144698	541.326	5555.17	449.794	0	0.80211	291.311	5950.79	1	1	-1	364	-283.56	-278.248
0	-1.20188	0.356759	-1.20188	0.356759	605.476	9447.92	551.871	0	0.78173	303.22	10027.3	1	1	-1	398	-369.251	-365.473
0	-1.23678	0.701429	-1.23678	0.701429	670.479	7702.54	479.76	0	0.79673	291.012	8288.99	1	1	-1	399	-310.917	-309.846
1	-0.368653	-0.83486	-0.368653	-0.83486	268.982	2142.29	395.854	0	0.61315	304.459	2315.37	1	1	-1	407	-261.553	-253.498
0	0.00982894	-1.21156	0.00982894	-1.21156	441.517	3952.37	420.791	0	0.93791	291.114	4222.81	1	1	-1	470	-230.183	-221.725
1	-0.179403	1.11065	-0.179403	1.11065	531.288	4139.43	396.272	0	1.46495	286.222	4479.99	1	1	-1	522	231.561	221.578
