Cas9901	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.797519	-0.184082	0.797519	-0.184082	420.971	3866.97	509.829	1	1	350	3902.25	1	1	-1	1	-7.35967	-7.35967
1	0.94592	-0.211871	0.94592	-0.211871	385.811	3974.19	334.348	1	1	350	5496.45	1	1	-1	1	-24.7147	-24.7147
1	0.865613	-0.346898	0.865613	-0.346898	339.52	5493.22	314.274	1	1	350	3747.99	1	1	-1	1	-38.188	-38.188
1	0.625503	-0.337313	0.625503	-0.337313	311.421	3647.63	334.078	1	1	350	4273.3	1	1	-1	1	-25.8704	-25.8704
1	0.764842	-0.327387	0.764842	-0.327387	249.849	3284.01	431.209	1	1	350	5107.61	1	1	-1	1	44.6419	44.6419
1	0.911843	-0.315796	0.911843	-0.315796	419.563	3077.58	603.312	1	1	350	4956.32	1	1	-1	1	11.2961	11.2961
1	0.867964	-0.368066	0.867964	-0.368066	277.105	4035.83	367.755	1	1	350	4675.43	1	1	-1	1	-60.4542	-60.4542
1	0.726942	-0.222354	0.726942	-0.222354	379.797	3725.83	449.676	1	1	350	3424.59	1	1	-1	1	11.7135	11.7135
1	0.827634	-0.342637	0.827634	-0.342637	270.427	5083.52	241.038	1	1	350	4269.24	1	1	-1	1	-33.1244	-33.1244
1	0.777607	-0.193525	0.777607	-0.193525	397.261	3687.02	368.874	1	1	350	6178.76	1	1	-1	1	-32.153	-32.153
1	0.777448	-0.250086	0.777448	-0.250086	243.986	4269.27	487.874	1	1	350	3963.44	1	1	-1	1	18.9611	18.9611
1	0.741728	-0.234516	0.741728	-0.234516	416.579	4536.61	451.308	1	1	350	2723.5	1	1	-1	1	-12.4175	-12.4175
1	0.835753	-0.255732	0.835753	-0.255732	279.011	3459.45	408.881	1	1	350	3994.55	1	1	-1	1	50.9826	50.9826
1	0.811785	-0.264599	0.811785	-0.264599	405.693	3666.8	486.291	1	1	350	4021.37	1	1	-1	1	-20.7019	-20.7019
1	0.750664	-0.255882	0.750664	-0.255882	426.203	5100.93	232.905	1	1	350	1892.74	1	1	-1	1	-20.9487	-20.9487
1	0.900738	-0.182555	0.900738	-0.182555	258.823	2326.55	388.595	1	1	350	3175.29	1	1	-1	1	-25.2919	-25.2919
1	0.616795	-0.196041	0.616795	-0.196041	381.701	3654.69	457.293	1	1	350	3620.9	1	1	-1	1	25.0509	25.0509
1	0.836537	-0.212069	0.836537	-0.212069	440.727	3386.97	397.929	1	1	350	4453.69	1	1	-1	1	-36.8436	-36.8436
1	0.772451	-0.201353	0.772451	-0.201353	426.309	3759.75	557.928	1	1	350	3264.54	1	1	-1	1	-13.2843	-13.2843
1	0.82271	-0.262036	0.82271	-0.262036	274.129	3722.47	275.066	1	1	350	4769.43	1	1	-1	1	-14.2614	-14.2614
1	0.654779	-0.219504	0.654779	-0.219504	565.047	2805.18	320.883	1	1	350	3262.27	1	1	-1	1	16.0478	16.0478
1	0.718028	-0.264933	0.718028	-0.264933	373.138	3551.2	547.147	1	1	350	3685.66	1	1	-1	1	-49.4032	-49.4032
