Cas9901	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.803019	-0.164597	0.803019	-0.164597	420.971	3866.97	509.829	1	1	350	3902.25	1	1	-1	1	-7.35967	-17.9338
1	0.95142	-0.156791	0.95142	-0.156791	385.811	3974.19	334.348	1	1	350	5496.45	1	1	-1	1	-24.7147	-35.9054
1	0.871113	-0.257343	0.871113	-0.257343	339.52	5493.22	314.274	1	1	350	3747.99	1	1	-1	1	-38.188	-56.648
1	0.631003	-0.272409	0.631003	-0.272409	311.421	3647.63	334.078	1	1	350	4273.3	1	1	-1	1	-25.8704	-44.4996
1	0.770342	-0.400891	0.770342	-0.400891	249.849	3284.01	431.209	1	1	350	5107.61	1	1	-1	1	44.6419	22.3544
1	0.917343	-0.324828	0.917343	-0.324828	419.563	3077.58	603.312	1	1	350	4956.32	1	1	-1	1	11.2961	-8.28664
1	0.873464	-0.233717	0.873464	-0.233717	277.105	4035.83	367.755	1	1	350	4675.43	1	1	-1	1	-60.4542	-78.8384
1	0.732442	-0.237837	0.732442	-0.237837	379.797	3725.83	449.676	1	1	350	3424.59	1	1	-1	1	11.7135	-2.30158
1	0.833134	-0.263235	0.833134	-0.263235	270.427	5083.52	241.038	1	1	350	4269.24	1	1	-1	1	-33.1244	-51.6348
1	0.783107	-0.125014	0.783107	-0.125014	397.261	3687.02	368.874	1	1	350	6178.76	1	1	-1	1	-32.153	-41.7971
1	0.782948	-0.278062	0.782948	-0.278062	243.986	4269.27	487.874	1	1	350	3963.44	1	1	-1	1	18.9611	2.84908
1	0.747228	-0.202104	0.747228	-0.202104	416.579	4536.61	451.308	1	1	350	2723.5	1	1	-1	1	-12.4175	-25.7052
1	0.841253	-0.34595	0.841253	-0.34595	279.011	3459.45	408.881	1	1	350	3994.55	1	1	-1	1	50.9826	32.6015
1	0.817285	-0.214182	0.817285	-0.214182	405.693	3666.8	486.291	1	1	350	4021.37	1	1	-1	1	-20.7019	-35.2906
1	0.756164	-0.205508	0.756164	-0.205508	426.203	5100.93	232.905	1	1	350	1892.74	1	1	-1	1	-20.9487	-35.0008
1	0.906238	-0.128115	0.906238	-0.128115	258.823	2326.55	388.595	1	1	350	3175.29	1	1	-1	1	-25.2919	-34.6932
1	0.622295	-0.239178	0.622295	-0.239178	381.701	3654.69	457.293	1	1	350	3620.9	1	1	-1	1	25.0509	11.8064
1	0.842037	-0.133273	0.842037	-0.133273	440.727	3386.97	397.929	1	1	350	4453.69	1	1	-1	1	-36.8436	-47.3147
1	0.777951	-0.169247	0.777951	-0.169247	426.309	3759.75	557.928	1	1	350	3264.54	1	1	-1	1	-13.2843	-24.5348
1	0.82821	-0.224361	0.82821	-0.224361	274.129	3722.47	275.066	1	1	350	4769.43	1	1	-1	1	-14.2614	-29.0851
1	0.660279	-0.24363	0.660279	-0.24363	565.047	2805.18	320.883	1	1	350	3262.27	1	1	-1	1	16.0478	1.94191
1	0.723528	-0.158402	0.723528	-0.158402	373.138	3551.2	547.147	1	1	350	3685.66	1	1	-1	1	-49.4032	-62.281
1	0.869047	-0.330821	0.869047	-0.330821	418.877	4349.54	434.415	1	1	350	3977.65	1	1	-1	1	40.6347	22.5531
1	0.856397	-0.584495	0.856397	-0.584495	481.721	3825.77	396.448	1	1	350	4440.63	1	1	-1	1	74.823	42.7779
1	0.669007	-0.354905	0.669007	-0.354905	300.505	1475.26	347.204	1	1	350	3435.88	1	1	-1	1	-55.0289	-80.784
1	0.676608	-0.242816	0.676608	-0.242816	593.57	2270.59	378.731	1	1	350	2839.24	1	1	-1	1	-20.2165	-36.5979
1	0.829454	-0.291659	0.829454	-0.291659	411.984	2680.5	464.919	1	1	350	4585.85	1	1	-1	1	-4.73572	-23.2346
1	0.710445	-0.28492	0.710445	-0.28492	343.181	5217.94	353.983	1	1	350	3291.14	1	1	-1	1	-34.3275	-54.2963
1	0.843795	-0.23561	0.843795	-0.23561	351.588	3689	474.05	1	1	350	2592.64	1	1	-1	1	-18.7728	-34.6026
1	0.972195	-0.325293	0.972195	-0.325293	390.216	4790.57	410.696	1	1	350	3862.45	1	1	-1	1	-4.09693	-24.6971
1	0.842114	-0.325351	0.842114	-0.325351	451.262	3092.61	431.077	1	1	350	3731.87	1	1	-1	1	46.7564	29.4161
1	0.805661	-0.315328	0.805661	-0.315328	432.203	2850.69	541.611	1	1	350	5622.23	1	1	-1	1	15.5971	-3.10452
1	0.77447	-0.137948	0.77447	-0.137948	383.884	3883.34	420.329	1	1	350	3194.92	1	1	-1	1	1.48189	-6.8274
1	0.838492	-0.344506	0.838492	-0.344506	423.755	4376.42	452.22	1	1	350	3566.23	1	1	-1	1	-1.02054	-22.6471
1	0.954669	-0.362847	0.954669	-0.362847	252.731	4602.77	437.025	1	1	350	3069.42	1	1	-1	1	25.9588	4.89547
1	0.713908	-0.153723	0.713908	-0.153723	336.754	3290.44	355.291	1	1	350	3201.52	1	1	-1	1	-41.5042	-53.577
1	0.874497	-0.290872	0.874497	-0.290872	464.355	4730.14	473.714	1	1	350	3876.81	1	1	-1	1	-14.2238	-33.2815
1	0.73014	-0.172056	0.73014	-0.172056	438.513	5732.54	377.052	1	1	350	4935.24	1	1	-1	1	-39.7166	-52.8424
1	0.879053	-0.333495	0.879053	-0.333495	379.616	3655.96	658.309	1	1	350	3970.15	1	1	-1	1	23.2626	3.8958
1	0.746318	-0.421432	0.746318	-0.421432	327.417	3179.8	333.657	1	1	350	1585.04	1	1	-1	1	9.15242	-16.7211
1	0.86969	-0.259009	0.86969	-0.259009	223.62	3394.2	310.962	1	1	350	4475.97	1	1	-1	1	-11.1594	-27.9909
1	0.692123	-0.47796	0.692123	-0.47796	501.437	4660.47	151.029	1	1	350	195.765	1	1	-1	1	91.8061	67.6366
1	0.84886	-0.314201	0.84886	-0.314201	532.721	3942.86	475.969	1	1	350	3979.28	1	1	-1	1	16.6659	-1.89529
1	0.86989	-0.201657	0.86989	-0.201657	451.079	4391.05	545.17	1	1	350	4843.98	1	1	-1	1	-25.9281	-40.0544
1	0.730902	-0.305493	0.730902	-0.305493	438.863	3553.48	370.963	1	1	350	4747.74	1	1	-1	1	-30.2682	-51.2869
1	0.903551	-0.155933	0.903551	-0.155933	293.589	2400.2	445.286	1	1	350	4343.72	1	1	-1	1	-35.4093	-47.2318
1	0.814755	-0.220672	0.814755	-0.220672	519.378	4061.47	263.235	1	1	350	4743.59	1	1	-1	1	-49.9596	-66.8394
1	0.79619	-0.360387	0.79619	-0.360387	372.398	5616.25	573.632	1	1	350	2949.96	1	1	-1	1	36.0954	15.8393
1	0.763514	-0.401375	0.763514	-0.401375	533.171	4812.73	437.73	1	1	350	5026.19	1	1	-1	1	57.3595	35.8574
1	0.792024	-0.308708	0.792024	-0.308708	363.06	3831.08	211.677	1	1	350	3029.55	1	1	-1	1	26.5058	8.92593
1	0.810831	-0.241837	0.810831	-0.241837	374.383	4939.05	660.96	1	1	350	4937.79	1	1	-1	1	-12.3097	-28.1213
1	0.992346	-0.118394	0.992346	-0.118394	283.507	5932.04	427.145	1	1	350	5113.44	1	1	-1	1	-19.8331	-28.2649
1	0.898145	-0.228861	0.898145	-0.228861	239.636	3608.8	455.763	1	1	350	3918.1	1	1	-1	1	-17.0733	-32.3641
1	0.787182	-0.388811	0.787182	-0.388811	400.223	4423.47	364.844	1	1	350	2954.2	1	1	-1	1	40.2315	18.4304
1	0.66874	-0.279102	0.66874	-0.279102	363.929	4304.47	411.847	1	1	350	5176.02	1	1	-1	1	-2.04767	-19.5743
1	0.85026	-0.377053	0.85026	-0.377053	109.051	2907.26	525.295	1	1	350	1663.48	1	1	-1	1	57.269	37.3102
1	0.798843	-0.243328	0.798843	-0.243328	363.568	1907.33	392.248	1	1	350	3619.08	1	1	-1	1	7.1931	-7.46183
1	0.822193	-0.250058	0.822193	-0.250058	223.893	4811.74	374.613	1	1	350	2423.46	1	1	-1	1	-5.00722	-20.8738
1	0.740083	-0.356569	0.740083	-0.356569	476.215	2139.12	235.15	1	1	350	4683.79	1	1	-1	1	54.0464	35.1856
1	0.922313	-0.303154	0.922313	-0.303154	378.894	2966.25	256.93	1	1	350	3656.87	1	1	-1	1	48.5029	32.6885
1	0.775803	-0.209003	0.775803	-0.209003	323.638	1379.55	193.043	1	1	350	5016.02	1	1	-1	1	-13.3043	-27.0884
1	0.849056	-0.330615	0.849056	-0.330615	256.451	3019.71	456.779	1	1	350	4607.53	1	1	-1	1	21.2405	1.92741
1	0.754808	-0.0561402	0.754808	-0.0561402	430.622	3059.14	373.13	1	1	350	6571.19	1	1	-1	1	-102.793	-112.584
1	0.911846	-0.191091	0.911846	-0.191091	331.56	5629.65	434.946	1	1	350	3275.49	1	1	-1	1	-21.6949	-34.8765
1	0.944091	-0.324644	0.944091	-0.324644	453.066	4491.84	494.838	1	1	350	4864.95	1	1	-1	1	-44.41	-67.5561
1	0.625742	-0.300931	0.625742	-0.300931	367.691	5300.02	533.006	1	1	350	3182.46	1	1	-1	1	19.6719	2.14882
1	0.897159	-0.259383	0.897159	-0.259383	287.214	5973.8	499.148	1	1	350	2500.56	1	1	-1	1	3.55311	-12.3581
1	0.64766	-0.177241	0.64766	-0.177241	438.427	2055.4	245.981	1	1	350	2830.07	1	1	-1	1	-22.9546	-35.335
1	0.707434	-0.349338	0.707434	-0.349338	495.753	4257.43	565.144	1	1	350	1988.34	1	1	-1	1	21.559	1.07374
1	0.820758	-0.391396	0.820758	-0.391396	466.64	5897.49	562.807	1	1	350	1850.05	1	1	-1	1	66.3631	46.0744
1	0.840052	-0.213841	0.840052	-0.213841	401.447	4772.65	417.4	1	1	350	1454.36	1	1	-1	1	-16.8094	-31.1266
1	0.864809	-0.248636	0.864809	-0.248636	496.147	3731.68	367.15	1	1	350	3455.56	1	1	-1	1	0.513753	-14.9079
1	0.876573	-0.201297	0.876573	-0.201297	400.557	4157.44	432.367	1	1	350	4859.73	1	1	-1	1	-29.3164	-43.6373
1	0.795712	-0.197839	0.795712	-0.197839	338.652	3512.45	423.387	1	1	350	5183.05	1	1	-1	1	-11.4777	-24.4334
1	0.88997	-0.382641	0.88997	-0.382641	594.85	5154.46	323.489	1	1	350	4016.97	1	1	-1	1	-6.41349	-30.8152
1	0.805491	-0.275392	0.805491	-0.275392	446.221	4898.72	373.85	1	1	350	5137.28	1	1	-1	1	9.46856	-7.08264
1	0.7927	-0.230389	0.7927	-0.230389	438.917	2642.91	505.467	1	1	350	5902.96	1	1	-1	1	-5.79248	-20.4566
1	0.788717	-0.243859	0.788717	-0.243859	345.791	4733.2	282.369	1	1	350	2641.53	1	1	-1	1	12.076	-2.29935
1	0.84252	-0.135429	0.84252	-0.135429	461.281	5368.75	373.502	1	1	350	2820.62	1	1	-1	1	-44.3636	-55.4547
1	0.80394	-0.17689	0.80394	-0.17689	270.602	5023.6	364.074	1	1	350	3818.98	1	1	-1	1	-58.799	-73.4574
1	0.817275	-0.319827	0.817275	-0.319827	563.032	5588.14	653.306	1	1	350	3454.59	1	1	-1	1	31.8787	13.9355
1	0.823815	-0.182425	0.823815	-0.182425	279.927	2965.96	353.492	1	1	350	4855.58	1	1	-1	1	-1.03118	-12.3347
1	0.757126	-0.236547	0.757126	-0.236547	322.423	4229.97	351.506	1	1	350	4042.31	1	1	-1	1	-39.8594	-57.1021
1	0.850042	-0.163584	0.850042	-0.163584	646.913	4031.21	423.32	1	1	350	3020.71	1	1	-1	1	-41.9343	-54.6629
1	0.903843	-0.21316	0.903843	-0.21316	302.272	5313.42	443.518	1	1	350	5350.03	1	1	-1	1	-61.1225	-78.2402
1	0.82466	-0.100969	0.82466	-0.100969	517.167	3213.51	500.327	1	1	350	4304.33	1	1	-1	1	-35.4691	-43.7945
1	-0.814806	0.000307998	-0.814806	0.000307998	444.296	4849.37	400.445	1	1	350	3439.48	1	1	-1	1	62.0816	66.4676
1	-0.954689	0.0892689	-0.954689	0.0892689	355.168	3603.5	369.622	1	1	350	4796.22	1	1	-1	1	25.9074	33.6382
1	-0.922817	0.0242619	-0.922817	0.0242619	403.834	3108.22	376.738	1	1	350	3318.02	1	1	-1	1	27.9781	31.7012
1	-0.868549	0.127613	-0.868549	0.127613	408.457	3391.51	653.042	1	1	350	3924.8	1	1	-1	1	19.3514	29.1038
1	-0.759859	0.230178	-0.759859	0.230178	343.574	3122.85	457.214	1	1	350	4110.09	1	1	-1	1	19.8419	36.1586
1	-0.790832	-0.0459114	-0.790832	-0.0459114	351.793	3067.44	410.106	1	1	350	2457.98	1	1	-1	1	63.032	64.5351
1	-0.750917	0.178701	-0.750917	0.178701	280.542	3778.57	251.998	1	1	350	5150.28	1	1	-1	1	-27.8928	-17.9184
1	-0.855933	0.0378403	-0.855933	0.0378403	546.215	4177.84	458.663	1	1	350	5455.62	1	1	-1	1	62.5119	69.3162
1	-0.827394	-0.0371232	-0.827394	-0.0371232	452.797	3238.07	409.122	1	1	350	4930.69	1	1	-1	1	58.2237	59.978
1	-0.921572	0.0329861	-0.921572	0.0329861	404.722	3571.28	373.598	1	1	350	3929.58	1	1	-1	1	-22.057	-20.9894
1	-0.913428	0.113137	-0.913428	0.113137	456.34	3437.42	448.794	1	1	350	3983.57	1	1	-1	1	23.8465	32.9653
1	-0.931867	0.0294751	-0.931867	0.0294751	359.227	4215.98	259.938	1	1	350	4880.57	1	1	-1	1	42.6204	47.6153
1	-0.844258	0.0378701	-0.844258	0.0378701	413.911	2746.8	572.472	1	1	350	4380.14	1	1	-1	1	17.811	21.7484
1	-0.836635	-0.110438	-0.836635	-0.110438	355.689	5863.53	379.84	1	1	350	3899.46	1	1	-1	1	122.697	123.919
1	-0.709573	-0.109476	-0.709573	-0.109476	232.891	3834.85	451.75	1	1	350	4329.35	1	1	-1	1	57.3404	54.4295
1	-0.678637	-0.140663	-0.678637	-0.140663	208.416	3646.69	452.741	1	1	350	2260.56	1	1	-1	1	69.0334	64.8865
1	-0.784391	-0.123894	-0.784391	-0.123894	396.393	3084.32	414.415	1	1	350	6132.87	1	1	-1	1	55.395	51.4409
1	-0.816702	0.0937357	-0.816702	0.0937357	441.056	4183.05	429.11	1	1	350	5016.32	1	1	-1	1	54.4648	64.3129
1	-0.977401	0.0671288	-0.977401	0.0671288	445.277	3326.16	635.364	1	1	350	4226.56	1	1	-1	1	20.1271	26.0767
1	-0.823788	0.212202	-0.823788	0.212202	540.573	4864.97	570.841	1	1	350	3584.97	1	1	-1	1	-0.887673	12.9537
1	-0.685301	-0.062363	-0.685301	-0.062363	486.637	3443.37	489.759	1	1	350	3203.42	1	1	-1	1	67.8685	68.6341
1	-0.950565	0.020833	-0.950565	0.020833	631.646	5036.76	340.425	1	1	350	5251.57	1	1	-1	1	47.7582	52.5323
1	-0.710407	0.12946	-0.710407	0.12946	306.977	3262.2	312.275	1	1	350	3034.96	1	1	-1	1	29.2352	39.7396
1	-0.872898	-0.0117805	-0.872898	-0.0117805	371.053	1695.13	363.503	1	1	350	5643.75	1	1	-1	1	11.3082	11.6658
1	-0.757157	-0.116386	-0.757157	-0.116386	337.692	4528.04	498.312	1	1	350	4018.11	1	1	-1	1	33.2202	28.3212
1	-0.799858	-0.0289646	-0.799858	-0.0289646	306.482	4010.33	457.228	1	1	350	3093.8	1	1	-1	1	15.2811	14.7991
1	-0.804779	0.142344	-0.804779	0.142344	372.629	1597.89	300.025	1	1	350	4312.02	1	1	-1	1	5.96164	15.793
1	-0.805421	0.0211723	-0.805421	0.0211723	286.195	4709.76	304.485	1	1	350	2923.15	1	1	-1	1	41.311	45.693
1	-0.849767	-0.033914	-0.849767	-0.033914	301.737	5582.98	428.43	1	1	350	3921.22	1	1	-1	1	59.2633	61.2887
1	-0.77648	0.0831992	-0.77648	0.0831992	400.004	3750.21	310.732	1	1	350	5483.2	1	1	-1	1	43.582	52.0605
1	-0.755304	0.102854	-0.755304	0.102854	348.719	4974.79	465.814	1	1	350	4693.41	1	1	-1	1	-33.0249	-28.2109
1	-0.770033	0.0733478	-0.770033	0.0733478	478.243	3702.94	521.116	1	1	350	4822.6	1	1	-1	1	1.33349	6.47311
1	-0.971374	0.0568493	-0.971374	0.0568493	481.543	4278.2	601.04	1	1	350	3870.58	1	1	-1	1	28.7909	34.6418
1	-0.87018	-0.178723	-0.87018	-0.178723	401.796	4618.48	317.508	1	1	350	5225.56	1	1	-1	1	75.2148	69.0403
1	-0.83368	0.0137965	-0.83368	0.0137965	364.44	4521.09	250.036	1	1	350	2299.07	1	1	-1	1	1.1131	2.44547
1	-0.824371	-0.0689821	-0.824371	-0.0689821	349.018	3737.91	282.251	1	1	350	5091.87	1	1	-1	1	67.8339	68.1757
1	-0.808445	0.0207356	-0.808445	0.0207356	524.763	3107.5	274.6	1	1	350	5408.89	1	1	-1	1	16.6172	19.3866
1	-0.766466	0.0983313	-0.766466	0.0983313	413.887	3101.54	417.514	1	1	350	4650.1	1	1	-1	1	-3.44165	2.98283
1	-0.944819	-0.23996	-0.944819	-0.23996	483.379	4054.7	294.468	1	1	350	4378.3	1	1	-1	1	128.951	122.325
1	-0.69694	-0.0386565	-0.69694	-0.0386565	352.093	4262.73	479.053	1	1	350	4599.03	1	1	-1	1	8.16413	6.60804
1	-0.762775	-0.0467899	-0.762775	-0.0467899	529.253	5366.82	507.497	1	1	350	1882.85	1	1	-1	1	48.4383	48.9489
1	-0.730104	0.060815	-0.730104	0.060815	490.969	4214.2	284.341	1	1	350	4113.87	1	1	-1	1	80.6412	90.0723
1	-0.840094	-0.0840389	-0.840094	-0.0840389	547.635	4185.62	346.32	1	1	350	4886.67	1	1	-1	1	33.2659	30.4302
1	-0.804643	0.116175	-0.804643	0.116175	351.685	3661.45	429.668	1	1	350	4752.93	1	1	-1	1	-1.4493	6.23962
1	-0.925312	-0.00413045	-0.925312	-0.00413045	457.219	4298.62	324.745	1	1	350	3147.82	1	1	-1	1	1.95142	2.19574
1	-0.916542	0.0575854	-0.916542	0.0575854	484.925	5051.04	268.064	1	1	350	3290.21	1	1	-1	1	7.0484	11.5508
1	-0.90996	0.176555	-0.90996	0.176555	596.166	4820.93	439.354	1	1	350	2626.54	1	1	-1	1	15.282	27.8906
1	-0.751514	0.222851	-0.751514	0.222851	432.398	3198.49	440.615	1	1	350	3378.62	1	1	-1	1	22.2991	38.3069
1	-0.670888	0.022148	-0.670888	0.022148	480.561	1802.05	492.071	1	1	350	4157.01	1	1	-1	1	88.7748	96.2651
1	-0.765289	-0.00780438	-0.765289	-0.00780438	374.001	5905.81	628.787	1	1	350	937.444	1	1	-1	1	56.9759	60.5176
1	-0.985283	0.170736	-0.985283	0.170736	340.018	4390.02	388.01	1	1	350	4514.87	1	1	-1	1	52.6388	67.2742
1	-0.802919	-0.0591687	-0.802919	-0.0591687	503.843	4583.33	494.588	1	1	350	2950.03	1	1	-1	1	61.8389	62.421
1	-0.857617	-0.110808	-0.857617	-0.110808	542.582	3529.98	424.6	1	1	350	5722.39	1	1	-1	1	51.7478	48.3932
1	-0.757879	0.0508828	-0.757879	0.0508828	352.45	3446.05	369.621	1	1	350	3510.07	1	1	-1	1	16.5103	21.193
1	-0.946622	0.0229128	-0.946622	0.0229128	437.126	2718.77	413.156	1	1	350	4873.81	1	1	-1	1	36.9668	41.1808
1	-0.763244	0.06013	-0.763244	0.06013	487.067	4779.27	333.625	1	1	350	5150.7	1	1	-1	1	11.2623	16.1972
1	-0.948294	0.0708871	-0.948294	0.0708871	324.242	4137.95	445.028	1	1	350	4052.89	1	1	-1	1	32.1134	39.0717
1	-0.977211	0.0434845	-0.977211	0.0434845	443.518	4185.63	528.465	1	1	350	3264.49	1	1	-1	1	27.9887	32.9369
1	-0.821572	0.0580435	-0.821572	0.0580435	421.086	1554.14	432.004	1	1	350	4156.42	1	1	-1	1	15.8284	20.9235
1	-0.858878	-0.106257	-0.858878	-0.106257	428.142	4903.58	418.635	1	1	350	3171.72	1	1	-1	1	40.3739	36.5792
1	-0.920433	-0.00285464	-0.920433	-0.00285464	477.539	3909.39	338.298	1	1	350	4343.1	1	1	-1	1	29.8094	31.9228
1	-0.755293	-0.137873	-0.755293	-0.137873	311.957	5383.3	219.819	1	1	350	2396.73	1	1	-1	1	73.0757	69.3659
1	-0.821968	-0.122461	-0.821968	-0.122461	425.494	3133.39	496.141	1	1	350	4844.71	1	1	-1	1	92.5273	91.0476
1	-0.749724	-0.165936	-0.749724	-0.165936	134.758	3779.5	401.665	1	1	350	5098	1	1	-1	1	58.6282	52.2037
1	-0.83544	-0.180899	-0.83544	-0.180899	519.134	3528.68	460.632	1	1	350	3172.92	1	1	-1	1	82.8144	76.9891
1	-0.728442	0.0624688	-0.728442	0.0624688	426.899	2063.44	379.189	1	1	350	2308.67	1	1	-1	1	38.9085	45.7667
1	-0.827122	0.0707277	-0.827122	0.0707277	369.302	1770.07	300.392	1	1	350	4489.32	1	1	-1	1	18.2924	24.3535
1	-0.787453	0.0571638	-0.787453	0.0571638	327.672	4805.47	430.27	1	1	350	4322.84	1	1	-1	1	7.09051	11.5688
1	-0.264847	0.858676	-0.264847	0.858676	329.792	5416.59	384.879	1	1	350	3716.62	1	1	-1	1	-129.484	-82.7187
1	-0.159722	0.663379	-0.159722	0.663379	320.791	2799.18	363.361	1	1	350	3720.13	1	1	-1	1	-66.9503	-28.6111
1	-0.159567	0.61561	-0.159567	0.61561	379.662	3415.66	275.198	1	1	350	3038.84	1	1	-1	1	-41.2204	-4.27252
1	-0.28076	0.693697	-0.28076	0.693697	395.905	4926.53	257.884	1	1	350	3583.97	1	1	-1	1	-103.114	-65.1646
1	-0.272581	0.787748	-0.272581	0.787748	283.591	6656.11	326.274	1	1	350	2197.12	1	1	-1	1	-122.106	-79.3849
1	-0.330195	0.75912	-0.330195	0.75912	328.739	4636.77	174.848	1	1	350	3742.8	1	1	-1	1	-133.148	-92.959
1	-0.340107	0.716482	-0.340107	0.716482	447.512	3751.5	517.725	1	1	350	5698.22	1	1	-1	1	-94.3483	-54.385
1	-0.25971	0.828023	-0.25971	0.828023	453.716	4093.19	499.734	1	1	350	4317.8	1	1	-1	1	-94.3103	-47.24
1	-0.152377	0.795361	-0.152377	0.795361	478.359	4593.69	484.743	1	1	350	4352.98	1	1	-1	1	-75.1456	-28.9258
1	-0.103664	0.799453	-0.103664	0.799453	392.183	3690.93	642.033	1	1	350	6395.57	1	1	-1	1	-145.714	-103.762
1	-0.259492	0.783043	-0.259492	0.783043	232.388	4238.41	418.629	1	1	350	2755.32	1	1	-1	1	-87.5532	-42.9143
1	-0.164231	0.929139	-0.164231	0.929139	211.821	2932.27	534.564	1	1	350	5839.6	1	1	-1	1	-122.308	-70.594
1	-0.253215	0.634302	-0.253215	0.634302	340.324	4865.1	307.126	1	1	350	2392.75	1	1	-1	1	-83.6198	-48.2024
1	-0.319515	0.709515	-0.319515	0.709515	214.335	4390.44	441.068	1	1	350	1590.11	1	1	-1	1	-66.6872	-25.3925
1	-0.343389	0.890585	-0.343389	0.890585	398.617	3136.3	399.372	1	1	350	5064.64	1	1	-1	1	-229.928	-187.576
1	-0.146312	0.809879	-0.146312	0.809879	440.901	5077.36	430.841	1	1	350	4180	1	1	-1	1	-141.346	-98.45
1	-0.190027	0.662458	-0.190027	0.662458	282.187	3130.77	438.514	1	1	350	3456.02	1	1	-1	1	-91.2601	-54.5397
1	-0.397087	0.664433	-0.397087	0.664433	406.613	2697.52	465.747	1	1	350	4228.59	1	1	-1	1	-88.9949	-52.0033
1	-0.311572	0.888253	-0.311572	0.888253	404.965	3358.58	420.675	1	1	350	3837.8	1	1	-1	1	-150.722	-103.436
1	-0.123539	0.690799	-0.123539	0.690799	404.625	6325.68	430.692	1	1	350	5331.72	1	1	-1	1	-49.9087	-8.72929
1	-0.267101	0.663175	-0.267101	0.663175	269.333	4481	420.87	1	1	350	4142.96	1	1	-1	1	-85.5524	-48.42
