Cas35585	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.706824	0.253805	-0.706824	0.253805	548.376	3115.18	391.263	1	1	350	4323.31	1	1	-1	1	-97.8691	-97.8691
1	-0.67333	0.414769	-0.67333	0.414769	414.583	2919.03	660.547	1	1	350	3421.52	1	1	-1	1	-72.9977	-72.9977
1	-0.649681	0.321948	-0.649681	0.321948	357.411	2788.9	643.703	1	1	350	4057.86	1	1	-1	1	-35.1134	-35.1134
1	-0.569789	0.20484	-0.569789	0.20484	360.949	3780.91	344.569	1	1	350	4987.99	1	1	-1	1	-66.0315	-66.0315
1	-0.751139	0.325428	-0.751139	0.325428	361.937	5670.04	651.081	1	1	350	3518.92	1	1	-1	1	-100.793	-100.793
1	-0.595371	0.368517	-0.595371	0.368517	339.594	4214.03	414.415	1	1	350	4418.56	1	1	-1	1	-6.00559	-6.00559
1	-0.587507	0.131927	-0.587507	0.131927	370.87	4044.88	536.025	1	1	350	2998.12	1	1	-1	1	-88.2781	-88.2781
1	-0.63353	0.371046	-0.63353	0.371046	323.702	5916.7	323.818	1	1	350	3580.36	1	1	-1	1	-133.248	-133.248
1	-0.758953	0.135669	-0.758953	0.135669	308.512	3518.05	386.126	1	1	350	3176.52	1	1	-1	1	-92.8364	-92.8364
1	-0.616018	0.220232	-0.616018	0.220232	334.834	6693.83	487.894	1	1	350	4376.43	1	1	-1	1	-141.806	-141.806
1	-0.657186	0.40594	-0.657186	0.40594	351.047	2484.62	328.342	1	1	350	2953.61	1	1	-1	1	-84.6996	-84.6996
1	-0.638845	0.264327	-0.638845	0.264327	313.449	4376.64	546.752	1	1	350	2150.07	1	1	-1	1	-78.2015	-78.2015
1	-0.591193	0.435473	-0.591193	0.435473	428.376	4913.89	460.755	1	1	350	4531.86	1	1	-1	1	-32.716	-32.716
1	-0.639594	0.302367	-0.639594	0.302367	319.089	4084.68	389.059	1	1	350	3838.46	1	1	-1	1	-125.406	-125.406
1	-0.570333	0.363228	-0.570333	0.363228	350.039	3907.28	428.8	1	1	350	3704.48	1	1	-1	1	-56.9822	-56.9822
1	-0.739954	0.286645	-0.739954	0.286645	356.853	2959.91	389.896	1	1	350	4562.95	1	1	-1	1	-116.646	-116.646
1	-0.596103	0.510611	-0.596103	0.510611	464.922	4229.6	264.822	1	1	350	3598.4	1	1	-1	1	-61.3876	-61.3876
1	-0.646783	0.32099	-0.646783	0.32099	380.904	6287.18	480.281	1	1	350	5456.99	1	1	-1	1	-54.3046	-54.3046
1	-0.692981	0.251763	-0.692981	0.251763	475.384	4609.91	523.138	1	1	350	4420.07	1	1	-1	1	-63.0875	-63.0875
1	-0.630945	0.23394	-0.630945	0.23394	336.24	6397.75	362.3	1	1	350	4026.39	1	1	-1	1	-18.3637	-18.3637
