Cas35583	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.537798	0.44743	0.537798	0.44743	548.376	3115.18	391.263	1	1	350	4323.31	1	1	-1	1	-97.8691	-111.121
1	0.664771	0.385028	0.664771	0.385028	414.583	2919.03	660.547	1	1	350	3421.52	1	1	-1	1	-72.9977	-82.2517
1	0.559377	0.443152	0.559377	0.443152	357.411	2788.9	643.703	1	1	350	4057.86	1	1	-1	1	-35.1134	-46.5788
1	0.429262	0.379543	0.429262	0.379543	360.949	3780.91	344.569	1	1	350	4987.99	1	1	-1	1	-66.0315	-77.0585
1	0.62188	0.456773	0.62188	0.456773	361.937	5670.04	651.081	1	1	350	3518.92	1	1	-1	1	-100.793	-113.691
1	0.572041	0.410396	0.572041	0.410396	339.594	4214.03	414.415	1	1	350	4418.56	1	1	-1	1	-6.00559	-15.4945
1	0.375932	0.397303	0.375932	0.397303	370.87	4044.88	536.025	1	1	350	2998.12	1	1	-1	1	-88.2781	-100.945
1	0.626307	0.295488	0.626307	0.295488	323.702	5916.7	323.818	1	1	350	3580.36	1	1	-1	1	-133.248	-140.957
1	0.448828	0.545234	0.448828	0.545234	308.512	3518.05	386.126	1	1	350	3176.52	1	1	-1	1	-92.8364	-110.351
1	0.483643	0.32704	0.483643	0.32704	334.834	6693.83	487.894	1	1	350	4376.43	1	1	-1	1	-141.806	-152.155
1	0.653647	0.360174	0.653647	0.360174	351.047	2484.62	328.342	1	1	350	2953.61	1	1	-1	1	-84.6996	-93.4141
1	0.514732	0.405037	0.514732	0.405037	313.449	4376.64	546.752	1	1	350	2150.07	1	1	-1	1	-78.2015	-89.664
1	0.639447	0.350029	0.639447	0.350029	428.376	4913.89	460.755	1	1	350	4531.86	1	1	-1	1	-32.716	-40.0001
1	0.563527	0.33621	0.563527	0.33621	319.089	4084.68	389.059	1	1	350	3838.46	1	1	-1	1	-125.406	-134.992
1	0.571978	0.330377	0.571978	0.330377	350.039	3907.28	428.8	1	1	350	3704.48	1	1	-1	1	-56.9822	-64.7141
1	0.586483	0.44294	0.586483	0.44294	356.853	2959.91	389.896	1	1	350	4562.95	1	1	-1	1	-116.646	-129.722
1	0.718528	0.292463	0.718528	0.292463	464.922	4229.6	264.822	1	1	350	3598.4	1	1	-1	1	-61.3876	-66.5084
1	0.562894	0.418524	0.562894	0.418524	380.904	6287.18	480.281	1	1	350	5456.99	1	1	-1	1	-54.3046	-65.2773
1	0.520371	0.476275	0.520371	0.476275	475.384	4609.91	523.138	1	1	350	4420.07	1	1	-1	1	-63.0875	-76.7555
1	0.466454	0.479236	0.466454	0.479236	336.24	6397.75	362.3	1	1	350	4026.39	1	1	-1	1	-18.3637	-31.6056
1	0.501952	0.311196	0.501952	0.311196	439.737	3674.12	358.269	1	1	350	2869.97	1	1	-1	1	-61.9191	-69.6974
1	0.507373	0.379414	0.507373	0.379414	246.476	4332.8	454.694	1	1	350	4484.22	1	1	-1	1	-46.583	-56.4534
1	0.53717	0.225471	0.53717	0.225471	474.012	3234.56	306.847	1	1	350	3097.96	1	1	-1	1	-142.028	-148.187
1	0.543144	0.378703	0.543144	0.378703	410.749	4324.27	499.568	1	1	350	2552.68	1	1	-1	1	-87.1592	-97.6073
1	0.56408	0.415894	0.56408	0.415894	294.657	3009.79	326.134	1	1	350	3300.33	1	1	-1	1	-95.9742	-107.793
1	0.541201	0.483869	0.541201	0.483869	271.286	3741.85	364.049	1	1	350	3430.97	1	1	-1	1	-58.5326	-72.1852
1	0.536294	0.3792	0.536294	0.3792	469.523	5625.75	553.541	1	1	350	2727.26	1	1	-1	1	-73.0963	-83.3031
1	0.654714	0.414563	0.654714	0.414563	408.872	2450.26	228.425	1	1	350	3461.58	1	1	-1	1	-44.2697	-54.0369
1	0.431294	0.475929	0.431294	0.475929	548.552	3163.87	448.823	1	1	350	4073.91	1	1	-1	1	-21.0013	-34.5011
1	0.516228	0.486683	0.516228	0.486683	344.896	2856.36	411.714	1	1	350	3830.19	1	1	-1	1	-53.9566	-67.8335
1	0.573741	0.499129	0.573741	0.499129	376.533	4108.67	284.067	1	1	350	4823.12	1	1	-1	1	-75.2365	-89.5337
1	0.511418	0.442455	0.511418	0.442455	557.598	4741.68	414.685	1	1	350	5265.24	1	1	-1	1	-36.1308	-48.0283
1	0.542597	0.360551	0.542597	0.360551	221.026	5897.92	469.73	1	1	350	4834.94	1	1	-1	1	-97.7605	-107.793
1	0.467704	0.275241	0.467704	0.275241	435.275	5189.05	354.928	1	1	350	2909.29	1	1	-1	1	-49.0806	-55.5621
1	0.492623	0.367423	0.492623	0.367423	459.348	5284.69	385.863	1	1	350	2037.28	1	1	-1	1	-137.655	-149.303
1	0.570673	0.431806	0.570673	0.431806	350.01	4356.66	448.479	1	1	350	3272.97	1	1	-1	1	-62.3478	-73.9191
1	0.524036	0.427791	0.524036	0.427791	411.363	3205.74	204.098	1	1	350	2502.02	1	1	-1	1	-59.2074	-70.9825
1	0.495146	0.449309	0.495146	0.449309	297.459	2730.02	522.959	1	1	350	2948.79	1	1	-1	1	-127.334	-141.714
1	0.544517	0.463647	0.544517	0.463647	387.639	5786.21	474.368	1	1	350	3116.06	1	1	-1	1	-53.3427	-66.108
