Cas8225	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-1.07989	0.00173716	-1.07989	0.00173716	403.275	4765.25	508.831	1	1	350	3714.03	1	1	-1	1	35.9546	35.9546
1	-0.813988	-0.00776135	-0.813988	-0.00776135	390.936	3156.49	401.487	1	1	350	5083.03	1	1	-1	1	50.121	50.121
1	-0.904466	0.201951	-0.904466	0.201951	423.688	4450	341.21	1	1	350	3191	1	1	-1	1	-132.131	-132.131
1	-0.618099	0.0909968	-0.618099	0.0909968	453.612	4045.11	250.673	1	1	350	5176.33	1	1	-1	1	-100.989	-100.989
1	-0.810907	0.143512	-0.810907	0.143512	422.708	3411.03	325.244	1	1	350	3206.49	1	1	-1	1	22.7347	22.7347
1	-0.868993	0.0344023	-0.868993	0.0344023	307.569	3851.9	513.159	1	1	350	2564.16	1	1	-1	1	-61.1109	-61.1109
1	-0.730319	0.111364	-0.730319	0.111364	341.187	3422.81	276.912	1	1	350	5175.61	1	1	-1	1	53.1709	53.1709
1	-0.845702	0.198504	-0.845702	0.198504	496.129	4534.88	323.987	1	1	350	3393.61	1	1	-1	1	-34.3085	-34.3085
1	-0.634217	-0.0959416	-0.634217	-0.0959416	436.692	5254.75	315.863	1	1	350	4925.25	1	1	-1	1	-193.129	-193.129
1	-0.923114	0.199886	-0.923114	0.199886	382.024	3323.58	365.48	1	1	350	3416.66	1	1	-1	1	-36.3475	-36.3475
1	-0.652166	0.0591589	-0.652166	0.0591589	519.251	4008.41	629.553	1	1	350	4455.29	1	1	-1	1	-7.09304	-7.09304
1	-0.995663	0.247931	-0.995663	0.247931	231.545	2837.08	259.427	1	1	350	1952.2	1	1	-1	1	-60.4195	-60.4195
1	-0.749472	0.479587	-0.749472	0.479587	252.23	5384.83	456.612	1	1	350	4200.19	1	1	-1	1	82.9331	82.9331
1	-0.869317	0.110323	-0.869317	0.110323	435.057	3694.69	236.662	1	1	350	3495.36	1	1	-1	1	-30.5876	-30.5876
1	-0.622732	0.056476	-0.622732	0.056476	372.91	3260.7	473.719	1	1	350	3674.95	1	1	-1	1	-101.206	-101.206
1	-0.976941	0.245793	-0.976941	0.245793	583.91	3451.15	459.203	1	1	350	3389.62	1	1	-1	1	58.169	58.169
1	-0.854311	0.172823	-0.854311	0.172823	362.704	4758.96	356.465	1	1	350	3424.41	1	1	-1	1	-34.1714	-34.1714
1	-0.756914	0.168662	-0.756914	0.168662	261.571	3818.69	365.834	1	1	350	4138.23	1	1	-1	1	-96.3099	-96.3099
1	-1.1794	0.0273304	-1.1794	0.0273304	473.361	4082.85	537.527	1	1	350	4707.38	1	1	-1	1	10.3945	10.3945
1	-0.857654	0.0780918	-0.857654	0.0780918	510.607	4431.36	455.656	1	1	350	2429.68	1	1	-1	1	64.978	64.978
1	-1.05102	0.0180233	-1.05102	0.0180233	363.287	4270.18	454.244	1	1	350	4601.05	1	1	-1	1	-97.2353	-97.2353
1	-1.07223	0.237709	-1.07223	0.237709	402.179	3453.42	421.718	1	1	350	4546.66	1	1	-1	1	129.974	129.974
1	-0.815784	0.0392652	-0.815784	0.0392652	551.954	2663.78	255.94	1	1	350	2359.89	1	1	-1	1	-4.99004	-4.99004
1	-0.582631	0.213708	-0.582631	0.213708	202.114	3571.34	266.86	1	1	350	5123.7	1	1	-1	1	-5.84763	-5.84763
1	-0.77348	0.279439	-0.77348	0.279439	476.103	2162.03	440.385	1	1	350	4435.77	1	1	-1	1	72.4627	72.4627
1	-0.984882	0.24823	-0.984882	0.24823	543.741	4414.3	526.368	1	1	350	2683.56	1	1	-1	1	161.509	161.509
1	-0.805384	0.135067	-0.805384	0.135067	243.939	2545.47	334.325	1	1	350	4197.97	1	1	-1	1	-124.962	-124.962
1	-0.527177	0.0604329	-0.527177	0.0604329	442.447	4315.74	444.231	1	1	350	2068.06	1	1	-1	1	137.107	137.107
1	-0.841009	0.0574173	-0.841009	0.0574173	614.806	4245.99	197.272	1	1	350	3558.16	1	1	-1	1	11.9674	11.9674
1	-0.846466	0.154505	-0.846466	0.154505	407.302	4106.58	632.993	1	1	350	5301.38	1	1	-1	1	-14.2521	-14.2521
1	-0.795872	0.35513	-0.795872	0.35513	390.434	3266.59	452.866	1	1	350	4240.1	1	1	-1	1	-144.366	-144.366
1	-0.884008	0.149774	-0.884008	0.149774	398.821	5426.89	428.449	1	1	350	4503.26	1	1	-1	1	-17.5474	-17.5474
1	-0.709826	0.247089	-0.709826	0.247089	292.069	3750.9	407.791	1	1	350	3985.12	1	1	-1	1	-21.6887	-21.6887
1	-0.644542	0.421551	-0.644542	0.421551	387.753	3993.11	458.307	1	1	350	4415.19	1	1	-1	1	-113.953	-113.953
1	-0.673	0.469034	-0.673	0.469034	316.6	2824.7	440.773	1	1	350	4317.12	1	1	-1	1	-139.556	-139.556
1	-0.854305	0.244467	-0.854305	0.244467	543.642	4106.4	286.604	1	1	350	4696.19	1	1	-1	1	101.738	101.738
1	-0.627284	0.201509	-0.627284	0.201509	498.342	1902.01	472.324	1	1	350	4617.1	1	1	-1	1	-31.4899	-31.4899
1	-0.7299	-0.0429002	-0.7299	-0.0429002	235.458	4427.12	413.441	1	1	350	4384.16	1	1	-1	1	5.26372	5.26372
1	-0.95103	0.209873	-0.95103	0.209873	479.386	4046.43	386.302	1	1	350	635.44	1	1	-1	1	44.9718	44.9718
1	-0.862885	-0.241821	-0.862885	-0.241821	356.617	4935.11	323.662	1	1	350	5172.96	1	1	-1	1	-169.694	-169.694
1	-0.821263	0.13	-0.821263	0.13	363.977	3947.35	449.963	1	1	350	2723.02	1	1	-1	1	20.8758	20.8758
1	-0.754188	0.191864	-0.754188	0.191864	425.767	2898.36	593.983	1	1	350	3518.14	1	1	-1	1	-125.257	-125.257
1	-0.798843	0.187043	-0.798843	0.187043	380.264	3452.5	284.796	1	1	350	3253.39	1	1	-1	1	-119.936	-119.936
1	-0.958533	0.43789	-0.958533	0.43789	394.726	4345.62	632.898	1	1	350	4940.08	1	1	-1	1	119.133	119.133
1	-0.928323	-0.00460383	-0.928323	-0.00460383	479.221	3111.07	436.223	1	1	350	3906.92	1	1	-1	1	7.55334	7.55334
1	-0.810877	0.226799	-0.810877	0.226799	522.734	3965.09	347.734	1	1	350	4499.07	1	1	-1	1	-25.6118	-25.6118
1	-0.843095	0.146804	-0.843095	0.146804	315.047	3373.76	388.956	1	1	350	4762.93	1	1	-1	1	139.093	139.093
1	-0.702324	0.62159	-0.702324	0.62159	190.036	4410.8	394.992	1	1	350	3044.97	1	1	-1	1	-88.0972	-88.0972
1	-0.627435	0.166356	-0.627435	0.166356	374.118	3509.43	607.669	1	1	350	3757.23	1	1	-1	1	39.434	39.434
1	-0.659097	0.434389	-0.659097	0.434389	384.349	5075.43	425.952	1	1	350	4125.02	1	1	-1	1	-18.685	-18.685
1	-0.695807	0.0595419	-0.695807	0.0595419	620.303	3857.67	413.81	1	1	350	4147.42	1	1	-1	1	59.5252	59.5252
1	-0.619071	0.0505823	-0.619071	0.0505823	555.912	3752.53	380.219	1	1	350	2812.63	1	1	-1	1	-34.1291	-34.1291
1	-0.661758	0.287227	-0.661758	0.287227	544.854	5620.4	352.704	1	1	350	4452.6	1	1	-1	1	-15.1485	-15.1485
1	-1.08494	0.388025	-1.08494	0.388025	532.749	4487.12	429.082	1	1	350	1962.94	1	1	-1	1	0.386449	0.386449
1	-0.97147	0.0669222	-0.97147	0.0669222	558.028	2611.53	412.852	1	1	350	2108.49	1	1	-1	1	-39.3718	-39.3718
1	-0.808985	0.160756	-0.808985	0.160756	340.134	3805.94	352.159	1	1	350	6238.03	1	1	-1	1	39.9249	39.9249
1	-0.727141	0.0126792	-0.727141	0.0126792	333.604	4687.88	397.155	1	1	350	1451.28	1	1	-1	1	-0.416166	-0.416166
1	-0.875559	0.215112	-0.875559	0.215112	346.825	5621.08	510.795	1	1	350	4551.8	1	1	-1	1	-103.52	-103.52
1	-0.885064	0.262308	-0.885064	0.262308	453.085	5491.98	458.214	1	1	350	4736.71	1	1	-1	1	-40.2598	-40.2598
1	-0.100789	-0.86466	-0.100789	-0.86466	709.387	5771.93	420.021	1	1	350	3382.41	1	1	-1	1	-8.2515	-8.2515
1	-0.23117	-1.01749	-0.23117	-1.01749	284.731	3149.84	346.517	1	1	350	3940.4	1	1	-1	1	50.186	50.186
1	-0.180186	-0.50119	-0.180186	-0.50119	409.667	3390.65	500.456	1	1	350	4740.1	1	1	-1	1	-62.4541	-62.4541
1	-0.0114244	-0.766684	-0.0114244	-0.766684	376.573	4118.79	349.293	1	1	350	3315.34	1	1	-1	1	60.547	60.547
1	-0.675712	-0.881139	-0.675712	-0.881139	565.83	3773.31	343.366	1	1	350	6106.62	1	1	-1	1	50.7733	50.7733
