Cas8225	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-1.08398	0.0646333	-1.08398	0.0646333	403.275	4765.25	508.831	1	1	350	3714.03	1	1	-1	1	35.9546	35.9546
1	-0.818941	0.0412316	-0.818941	0.0412316	390.936	3156.49	401.487	1	1	350	5083.03	1	1	-1	1	50.121	50.121
1	-0.89832	0.255392	-0.89832	0.255392	423.688	4450	341.21	1	1	350	3191	1	1	-1	1	-132.131	-132.131
1	-0.618152	0.129602	-0.618152	0.129602	453.612	4045.11	250.673	1	1	350	5176.33	1	1	-1	1	-100.989	-100.989
1	-0.807948	0.192136	-0.807948	0.192136	422.708	3411.03	325.244	1	1	350	3206.49	1	1	-1	1	22.7347	22.7347
1	-0.871664	0.0862162	-0.871664	0.0862162	307.569	3851.9	513.159	1	1	350	2564.16	1	1	-1	1	-61.1109	-61.1109
1	-0.729152	0.155815	-0.729152	0.155815	341.187	3422.81	276.912	1	1	350	5175.61	1	1	-1	1	53.1709	53.1709
1	-0.839817	0.248874	-0.839817	0.248874	496.129	4534.88	323.987	1	1	350	3393.61	1	1	-1	1	-34.3085	-34.3085
1	-0.644032	-0.0562363	-0.644032	-0.0562363	436.692	5254.75	315.863	1	1	350	4925.25	1	1	-1	1	-193.129	-193.129
1	-0.91705	0.254306	-0.91705	0.254306	382.024	3323.58	365.48	1	1	350	3416.66	1	1	-1	1	-36.3475	-36.3475
1	-0.653839	0.099591	-0.653839	0.099591	519.251	4008.41	629.553	1	1	350	4455.29	1	1	-1	1	-7.09304	-7.09304
1	-0.986985	0.306082	-0.986985	0.306082	231.545	2837.08	259.427	1	1	350	1952.2	1	1	-1	1	-60.4195	-60.4195
1	-0.729008	0.524536	-0.729008	0.524536	252.23	5384.83	456.612	1	1	350	4200.19	1	1	-1	1	82.9331	82.9331
1	-0.868014	0.16205	-0.868014	0.16205	435.057	3694.69	236.662	1	1	350	3495.36	1	1	-1	1	-30.5876	-30.5876
1	-0.624586	0.0953714	-0.624586	0.0953714	372.91	3260.7	473.719	1	1	350	3674.95	1	1	-1	1	-101.206	-101.206
1	-0.968401	0.302967	-0.968401	0.302967	583.91	3451.15	459.203	1	1	350	3389.62	1	1	-1	1	58.169	58.169
1	-0.849758	0.223679	-0.849758	0.223679	362.704	4758.96	356.465	1	1	350	3424.41	1	1	-1	1	-34.1714	-34.1714
1	-0.752712	0.214426	-0.752712	0.214426	261.571	3818.69	365.834	1	1	350	4138.23	1	1	-1	1	-96.3099	-96.3099
1	-1.18202	0.0953995	-1.18202	0.0953995	473.361	4082.85	537.527	1	1	350	4707.38	1	1	-1	1	10.3945	10.3945
1	-0.858054	0.129252	-0.858054	0.129252	510.607	4431.36	455.656	1	1	350	2429.68	1	1	-1	1	64.978	64.978
1	-1.0543	0.0793862	-1.0543	0.0793862	363.287	4270.18	454.244	1	1	350	4601.05	1	1	-1	1	-97.2353	-97.2353
1	-1.06398	0.299881	-1.06398	0.299881	402.179	3453.42	421.718	1	1	350	4546.66	1	1	-1	1	129.974	129.974
1	-0.818274	0.0882877	-0.818274	0.0882877	551.954	2663.78	255.94	1	1	350	2359.89	1	1	-1	1	-4.99004	-4.99004
1	-0.576311	0.250289	-0.576311	0.250289	202.114	3571.34	266.86	1	1	350	5123.7	1	1	-1	1	-5.84763	-5.84763
1	-0.763458	0.325918	-0.763458	0.325918	476.103	2162.03	440.385	1	1	350	4435.77	1	1	-1	1	72.4627	72.4627
1	-0.976204	0.305816	-0.976204	0.305816	543.741	4414.3	526.368	1	1	350	2683.56	1	1	-1	1	161.509	161.509
1	-0.802874	0.183414	-0.802874	0.183414	243.939	2545.47	334.325	1	1	350	4197.97	1	1	-1	1	-124.962	-124.962
1	-0.528954	0.0943219	-0.528954	0.0943219	442.447	4315.74	444.231	1	1	350	2068.06	1	1	-1	1	137.107	137.107
1	-0.842514	0.107735	-0.842514	0.107735	614.806	4245.99	197.272	1	1	350	3558.16	1	1	-1	1	11.9674	11.9674
1	-0.842882	0.204975	-0.842882	0.204975	407.302	4106.58	632.993	1	1	350	5301.38	1	1	-1	1	-14.2521	-14.2521
1	-0.781858	0.402678	-0.781858	0.402678	390.434	3266.59	452.866	1	1	350	4240.1	1	1	-1	1	-144.366	-144.366
1	-0.880621	0.202216	-0.880621	0.202216	398.821	5426.89	428.449	1	1	350	4503.26	1	1	-1	1	-17.5474	-17.5474
1	-0.701584	0.290281	-0.701584	0.290281	292.069	3750.9	407.791	1	1	350	3985.12	1	1	-1	1	-21.6887	-21.6887
1	-0.627259	0.461087	-0.627259	0.461087	387.753	3993.11	458.307	1	1	350	4415.19	1	1	-1	1	-113.953	-113.953
1	-0.653193	0.509995	-0.653193	0.509995	316.6	2824.7	440.773	1	1	350	4317.12	1	1	-1	1	-139.556	-139.556
1	-0.846002	0.295224	-0.846002	0.295224	543.642	4106.4	286.604	1	1	350	4696.19	1	1	-1	1	101.738	101.738
