Cas17973	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	0.71588	0.80658	0.43159	0.98833	718.197	3973.09	328.413	0	1.01956	711.313	4175.69	1	1	-1	215	0	0
0	0.99118	0.4413	0.8063	0.72599	553.588	3266.66	339.185	0	1.19409	688.211	3498.67	1	1	-1	263	0	0
1	-0.49457	-0.93446	-0.1816	-1.04155	342.305	3177.69	425.429	0	1.19316	669.234	3472.52	1	1	-1	277	0	0
0	-0.59094	0.75263	-0.7946	0.53318	291.176	4194.08	299.15	0	1.30916	716.343	4520.43	1	2	-1	359	0	0
1	1.15541	-0.67796	1.30836	-0.28774	433.507	2987.39	366.544	0	1.19396	638.982	3270.88	1	1	-1	532	0	0
1	0.90129	-0.06362	0.87684	0.21801	599.338	10596.9	343.291	0	1.03951	683.971	11050.9	1	2	-1	542	0	0
0	0.66788	0.67642	0.42616	0.8497	1304.94	7866.07	342.817	0	0.96885	729.364	8224.16	1	1	-1	559	0	0
0	-1.09154	0.22191	-1.10669	-0.12625	270.08	3088.13	472.15	0	1.10138	677.191	3189.63	1	1	-1	723	0	0
0	0.69591	-0.51782	0.82186	-0.27743	348.904	2612.21	382.058	0	0.90508	687.062	2834.95	1	1	-1	758	0	0
1	1.09671	-0.69046	1.2564	-0.31777	1243.58	9413.05	347.731	0	1.13605	683.318	9745.86	1	2	-1	912	0	0
0	-0.33826	-1.17322	0.04084	-1.22033	802.655	5697.5	372.011	0	0.99086	685.771	5943.25	1	1	-1	1189	0	0
0	-0.91388	0.32911	-0.97085	0.03059	561.012	3059.86	326.094	0	1.0557	661.874	3262.19	1	1	-1	1209	0	0
0	-0.46256	-1.13494	-0.0892	-1.22233	794.029	8727.82	407.164	0	0.98441	660.062	8951.9	1	2	-1	1248	0	0
0	-0.39346	-0.94831	-0.08116	-1.02349	700.914	3870.83	328.132	0	0.95715	688.905	3996.63	1	1	-1	1273	0	0
0	0.26726	-0.98863	0.55968	-0.85765	600.929	6339.5	378.429	0	1.24066	650.838	6667.86	1	2	-1	1294	0	0
0	-0.64693	0.65326	-0.81714	0.42138	942.775	34380.4	330.163	0	1.00909	704.094	35432.6	1	4	-1	1314	0	0
0	-0.97157	-0.83341	-0.66648	-1.09286	794.842	4731.98	340.69	0	0.94476	688.17	4918.67	1	1	-1	1438	0	0
1	0.40913	0.7586	0.15469	0.8479	1578.19	14845.6	388.241	0	1.08028	821.341	16326.6	1	2	-1	1492	0	0
1	1.1476	-0.74645	1.3221	-0.35529	2111.64	20334.3	369.985	0	0.98492	823.291	20901.5	1	2	-1	1527	0	0
1	0.41147	-0.97261	0.69188	-0.79786	1735.96	15762.1	354.098	0	1.01477	841.941	16190.7	1	2	-1	1547	0	0
0	0.89624	0.86577	0.58484	1.10035	578.972	3371.28	336.936	0	0.97902	782.604	3653.39	1	1	-1	1578	0	0
1	-0.37073	-1.13303	-0.00246	-1.19214	784.42	20331.2	366.538	0	1.07779	886.023	21528.6	1	3	-1	1587	0	0
1	-0.7676	0.09237	-0.75857	-0.14935	1559.96	8341.53	322.883	0	1.01466	908.732	8940.16	1	1	-1	1597	0	0
1	0.23605	-0.99079	0.53067	-0.86936	1093.63	7492.99	365.486	0	1.02183	866.917	7864.07	1	1	-1	1602	0	0
1	0.50525	0.58629	0.29935	0.71372	1842.99	19455.5	336.718	0	0.98689	829.758	19899.7	1	2	-1	1612	0	0
1	0.17337	0.95724	-0.13092	0.96397	193.722	39712.7	327.819	0	1.02093	822.976	40776.7	1	4	-1	1617	0	0
1	1.1215	-0.70178	1.28348	-0.32087	1258.87	25283.5	363.823	0	1.04205	823.682	25882.8	1	3	-1	1622	0	0
0	1.13653	-0.56961	1.25693	-0.19053	614.029	2887.51	302.793	0	0.87518	791.929	3070.45	1	1	-1	1633	0	0
1	-0.61438	0.69059	-0.79771	0.46693	1503.46	14753	340.645	0	0.97914	834.904	15165.4	1	2	-1	1637	0	0
1	0.27577	0.59539	0.07829	0.65147	523.489	3872.88	379.788	0	0.91857	777.464	4059.26	1	1	-1	1652	0	0
1	0.27984	-1.0219	0.58193	-0.88541	690.424	4844.1	369.851	0	1.17765	837.121	5053.06	1	1	-1	1662	0	0
1	0.81415	0.59984	0.58894	0.82206	1296.42	6404	310.335	0	0.95396	826.878	6639.99	1	1	-1	1692	0	0
1	-0.28298	-1.72722	0.26461	-1.73013	590.763	11702.5	621.456	0	0.49857	859.267	7664.9	1	1	-1	1707	0	0
0	-0.45026	-1.08729	-0.09223	-1.17321	250.486	2804.14	467.182	0	0.82743	666.671	2904.13	1	1	-1	1770	0	0
0	-0.91861	0.53941	-1.04034	0.22914	174.507	2685.26	547.727	0	0.57053	649.229	2518.76	1	1	-1	1853	0	0
0	-0.45429	-1.24996	-0.04579	-1.32917	1191.14	9055.45	384.992	0	0.96171	698.182	9338.08	1	1	-1	1924	0	0
0	-0.72838	0.61131	-0.88164	0.35631	162.553	4434.64	520.193	0	0.88373	612.619	4642.3	1	2	-1	2045	0	0
1	-0.64038	0.26657	-0.69141	0.05563	768.536	6915.96	418.864	0	0.55096	858.389	7324.94	1	1	-1	2212	0	0
1	-0.58913	-1.12357	-0.21309	-1.25063	835.499	6323.58	384.138	0	0.92758	809.866	6611.56	1	1	-1	2242	0	0
1	-0.34216	0.63101	-0.52041	0.49439	1738.69	31258.9	384.159	0	0.9168	897.428	35031.1	1	3	-1	2252	0	0
1	-0.85018	0.12994	-0.84872	-0.13914	1879.21	10559.1	330.981	0	0.94928	938.314	11191.6	1	1	-1	2262	0	0
1	0.34691	-1.11717	0.67515	-0.95529	666.495	3826.96	334.585	0	0.73508	799.063	3988.91	1	1	-1	2277	0	0
1	0.46358	0.67158	0.23336	0.78197	1532.99	9322.09	344.322	0	0.98682	909.756	9569.98	1	1	-1	2282	0	0
1	-1.10518	0.21338	-1.11703	-0.13858	827.405	5382.7	356.139	0	0.84624	884.399	5615.42	1	1	-1	2292	0	0
1	0.62582	-1.02272	0.91123	-0.77928	868.337	5320.05	345.615	0	1.09806	852.694	5665.01	1	1	-1	2307	0	0
