Cas9383	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.234474	0.735231	0.234474	0.735231	471.814	2415.37	245.985	1	1	350	3711.32	1	1	-1	1	29.1676	29.1676
1	0.490129	0.825371	0.490129	0.825371	354.227	4320.23	317.001	1	1	350	2152.15	1	1	-1	1	-20.382	-20.382
1	0.498742	0.730842	0.498742	0.730842	468.138	3488.49	219.162	1	1	350	2606.19	1	1	-1	1	-23.0262	-23.0262
1	0.473062	0.767475	0.473062	0.767475	465.037	2701.96	442.326	1	1	350	5222.61	1	1	-1	1	26.9708	26.9708
1	0.342242	0.79809	0.342242	0.79809	334.15	3559.46	421.163	1	1	350	4915.63	1	1	-1	1	12.6312	12.6312
1	0.267767	0.764259	0.267767	0.764259	203.823	3514.15	524.768	1	1	350	3198.89	1	1	-1	1	-1.11228	-1.11228
1	0.305369	0.791792	0.305369	0.791792	408.728	5458.32	294.683	1	1	350	3798.5	1	1	-1	1	41.0033	41.0033
1	0.265367	0.788377	0.265367	0.788377	479.734	3901.8	372.418	1	1	350	3671.83	1	1	-1	1	-16.6903	-16.6903
1	0.409456	0.914652	0.409456	0.914652	745.475	4754.98	258.561	1	1	350	5087.28	1	1	-1	1	3.04798	3.04798
1	0.267619	0.629715	0.267619	0.629715	484.887	4455.1	495.81	1	1	350	2841.44	1	1	-1	1	47.4835	47.4835
1	0.441928	0.741825	0.441928	0.741825	365.233	4468.16	535.772	1	1	350	2732.06	1	1	-1	1	48.3394	48.3394
1	0.254952	0.797562	0.254952	0.797562	311.292	4284.75	494.164	1	1	350	4600.15	1	1	-1	1	75.5523	75.5523
1	0.400721	0.766382	0.400721	0.766382	363.677	2284.64	521.106	1	1	350	4316.35	1	1	-1	1	-4.27617	-4.27617
1	0.418258	0.839596	0.418258	0.839596	496.985	4856.86	298.526	1	1	350	3620.92	1	1	-1	1	11.5352	11.5352
1	0.387802	0.763891	0.387802	0.763891	519.168	4459.5	288.919	1	1	350	4683.39	1	1	-1	1	11.0952	11.0952
1	0.40979	0.82004	0.40979	0.82004	209.149	4419.95	504.029	1	1	350	1785.75	1	1	-1	1	-91.1291	-91.1291
1	0.249032	0.747909	0.249032	0.747909	434.972	3908.27	295.622	1	1	350	5137.97	1	1	-1	1	-32.7994	-32.7994
1	0.463683	0.655236	0.463683	0.655236	385.913	2878.08	674.115	1	1	350	3444.6	1	1	-1	1	39.4023	39.4023
1	0.415383	0.739632	0.415383	0.739632	472.534	3587.67	282.759	1	1	350	2136.67	1	1	-1	1	-6.50293	-6.50293
1	0.348055	0.931373	0.348055	0.931373	321.397	5908.54	527.659	1	1	350	2843.3	1	1	-1	1	-39.5321	-39.5321
1	0.347747	0.78396	0.347747	0.78396	244.738	4964.79	460.625	1	1	350	5534.07	1	1	-1	1	27.8114	27.8114
1	0.346524	0.888254	0.346524	0.888254	478.113	4131.69	270.423	1	1	350	4185.1	1	1	-1	1	1.57339	1.57339
1	0.431668	0.806898	0.431668	0.806898	357.089	4973.8	321.875	1	1	350	2821.01	1	1	-1	1	27.0199	27.0199
1	0.274324	0.755025	0.274324	0.755025	632.08	4693.87	338.703	1	1	350	3767.24	1	1	-1	1	-34.8608	-34.8608
1	0.311332	0.774872	0.311332	0.774872	348.291	3925.28	286.508	1	1	350	5364.2	1	1	-1	1	42.4032	42.4032
1	0.279779	0.649161	0.279779	0.649161	356.901	4330.74	507.256	1	1	350	2958.4	1	1	-1	1	45.0473	45.0473
1	0.464673	0.768118	0.464673	0.768118	325.251	2003.48	236.926	1	1	350	2218.47	1	1	-1	1	7.81386	7.81386
1	0.279896	0.888409	0.279896	0.888409	490.596	5585.55	399.012	1	1	350	3549.62	1	1	-1	1	49.8675	49.8675
1	0.332266	0.838014	0.332266	0.838014	344.253	2534.11	375.562	1	1	350	2769.37	1	1	-1	1	6.12726	6.12726
1	0.419308	0.640617	0.419308	0.640617	404.429	4000.39	473.71	1	1	350	3584.56	1	1	-1	1	-31.4562	-31.4562
1	0.398065	0.822245	0.398065	0.822245	339.306	3110.16	314.453	1	1	350	4589.35	1	1	-1	1	33.5481	33.5481
1	0.39472	0.848391	0.39472	0.848391	523.558	5062.72	379.05	1	1	350	6011.76	1	1	-1	1	-25.1321	-25.1321
1	0.385128	0.919276	0.385128	0.919276	440.527	2386.05	485.108	1	1	350	2896.86	1	1	-1	1	-16.8698	-16.8698
1	0.300522	0.851507	0.300522	0.851507	417.573	3277.8	356.586	1	1	350	2975.82	1	1	-1	1	42.5518	42.5518
1	0.418889	0.893259	0.418889	0.893259	409.672	3489.29	454.41	1	1	350	5474.65	1	1	-1	1	-51.2397	-51.2397
1	0.304192	0.719845	0.304192	0.719845	331.985	3556.43	424.391	1	1	350	3157.42	1	1	-1	1	-11.1955	-11.1955
1	0.410051	0.848704	0.410051	0.848704	360.705	4740.94	291.034	1	1	350	3729.75	1	1	-1	1	35.931	35.931
1	0.46137	0.806377	0.46137	0.806377	397.178	2845.31	291.862	1	1	350	3429.06	1	1	-1	1	-66.0595	-66.0595
1	0.346002	0.777559	0.346002	0.777559	510.034	3876.97	362.185	1	1	350	4377.17	1	1	-1	1	12.4675	12.4675
1	0.28403	0.661468	0.28403	0.661468	579.643	3496.92	213.536	1	1	350	4719.86	1	1	-1	1	2.43197	2.43197
1	0.432031	0.900184	0.432031	0.900184	420.27	4097.39	419.467	1	1	350	5579.58	1	1	-1	1	1.36742	1.36742
1	0.219967	0.790357	0.219967	0.790357	337.168	3705.52	408.589	1	1	350	3971.78	1	1	-1	1	37.0403	37.0403
1	0.435941	0.697761	0.435941	0.697761	391.166	3331.39	294.28	1	1	350	2686.52	1	1	-1	1	-33.7787	-33.7787
1	0.29539	0.907707	0.29539	0.907707	354.9	3081.56	232.791	1	1	350	4492.1	1	1	-1	1	11.1147	11.1147
1	0.466713	0.859006	0.466713	0.859006	473.207	3397.75	419.751	1	1	350	4521.94	1	1	-1	1	-3.12212	-3.12212
1	0.355339	0.693386	0.355339	0.693386	364.685	4440.72	384.712	1	1	350	4129.36	1	1	-1	1	1.79871	1.79871
1	0.326401	0.9678	0.326401	0.9678	457.415	3181.24	257.229	1	1	350	5212.6	1	1	-1	1	-46.1285	-46.1285
1	0.305173	0.754887	0.305173	0.754887	499.854	2951.43	525.028	1	1	350	2745.62	1	1	-1	1	-38.5783	-38.5783
1	0.257661	0.785145	0.257661	0.785145	441.688	4299.13	371.71	1	1	350	2923.76	1	1	-1	1	-31.5317	-31.5317
1	0.414134	0.726528	0.414134	0.726528	430.672	5524.81	577.892	1	1	350	3633.69	1	1	-1	1	8.87983	8.87983
1	0.303562	0.760007	0.303562	0.760007	435.245	2349.75	360.361	1	1	350	4832.41	1	1	-1	1	81.1223	81.1223
1	0.463031	0.843795	0.463031	0.843795	271.186	4083.48	446.244	1	1	350	3616.42	1	1	-1	1	21.7211	21.7211
1	0.273878	0.771555	0.273878	0.771555	289.514	5161.27	464.643	1	1	350	4729.42	1	1	-1	1	3.64971	3.64971
1	0.228452	0.842583	0.228452	0.842583	422.262	3759.48	387.323	1	1	350	5350.3	1	1	-1	1	28.9557	28.9557
1	0.340254	0.831991	0.340254	0.831991	324.507	6271	439.001	1	1	350	3469.88	1	1	-1	1	-12.7996	-12.7996
1	0.308416	0.796011	0.308416	0.796011	552.177	4465.74	429.55	1	1	350	5174.32	1	1	-1	1	21.3115	21.3115
1	0.39314	0.672432	0.39314	0.672432	559.325	3454.26	183.566	1	1	350	5985.19	1	1	-1	1	24.3066	24.3066
1	0.461999	0.735366	0.461999	0.735366	451.769	3520.25	387.523	1	1	350	6342.22	1	1	-1	1	6.36321	6.36321
1	0.373678	0.733587	0.373678	0.733587	592.514	4078.41	410.627	1	1	350	5064.91	1	1	-1	1	-22.888	-22.888
1	0.291112	0.816149	0.291112	0.816149	475.599	4000.27	323.394	1	1	350	4579.36	1	1	-1	1	-16.9298	-16.9298
1	0.344245	0.918342	0.344245	0.918342	500.673	1962.35	443.028	1	1	350	3669.42	1	1	-1	1	10.2145	10.2145
1	0.192772	0.782881	0.192772	0.782881	451.001	3656.88	423.783	1	1	350	3725.36	1	1	-1	1	-24.2987	-24.2987
1	0.281842	0.760392	0.281842	0.760392	379.603	2922.58	254.801	1	1	350	5212.11	1	1	-1	1	-26.7563	-26.7563
1	0.303881	0.736773	0.303881	0.736773	254.681	5376.78	422.942	1	1	350	4342.22	1	1	-1	1	3.47015	3.47015
1	0.236061	0.741195	0.236061	0.741195	608.396	3829.68	300.041	1	1	350	3938.83	1	1	-1	1	-42.3279	-42.3279
1	0.444448	0.757335	0.444448	0.757335	629.682	4189.18	239.132	1	1	350	4963.67	1	1	-1	1	34.4289	34.4289
1	0.325887	0.918408	0.325887	0.918408	492.247	5497.74	296.162	1	1	350	4990.29	1	1	-1	1	38.9906	38.9906
1	0.416668	0.770334	0.416668	0.770334	441.47	3731.76	485.884	1	1	350	1997.09	1	1	-1	1	38.8258	38.8258
1	0.235482	0.680435	0.235482	0.680435	337.435	2562.18	449.394	1	1	350	4194.37	1	1	-1	1	7.78184	7.78184
1	0.364549	1.06731	0.364549	1.06731	397.218	3417.3	603.129	1	1	350	4832.71	1	1	-1	1	-7.3022	-7.3022
1	0.329236	0.718658	0.329236	0.718658	245.854	3836.29	304.923	1	1	350	4918.63	1	1	-1	1	86.095	86.095
1	0.267645	0.751221	0.267645	0.751221	565.237	4144.75	272.458	1	1	350	5748.18	1	1	-1	1	-70.1245	-70.1245
1	0.326791	0.713855	0.326791	0.713855	398.089	3926.68	404.873	1	1	350	3671.46	1	1	-1	1	-5.18652	-5.18652
1	-0.344192	0.821838	-0.344192	0.821838	325.608	3820.84	210.075	1	1	350	6136.65	1	1	-1	1	36.6777	36.6777
1	-0.19549	0.80335	-0.19549	0.80335	291.866	4904.67	290.11	1	1	350	4827.81	1	1	-1	1	6.90361	6.90361
1	-0.308951	0.824694	-0.308951	0.824694	472.375	3017.62	513.477	1	1	350	3695.54	1	1	-1	1	-6.35594	-6.35594
1	-0.152996	0.883868	-0.152996	0.883868	277.132	3032.47	494.5	1	1	350	3816.99	1	1	-1	1	-4.80444	-4.80444
1	-0.23149	0.788952	-0.23149	0.788952	368.477	3987.07	263.772	1	1	350	3968.27	1	1	-1	1	-42.4285	-42.4285
1	-0.244241	0.962205	-0.244241	0.962205	449.318	3431.64	338.04	1	1	350	4306.1	1	1	-1	1	72.0343	72.0343
1	-0.201267	0.732565	-0.201267	0.732565	214.349	4175.08	256.647	1	1	350	3088.93	1	1	-1	1	7.95591	7.95591
1	-0.238186	0.888665	-0.238186	0.888665	230.403	3439.66	435.465	1	1	350	2728.29	1	1	-1	1	-22.8215	-22.8215
1	-0.209648	0.808893	-0.209648	0.808893	393.495	5184.04	570.591	1	1	350	4021.04	1	1	-1	1	-59.9134	-59.9134
1	-0.218107	0.857374	-0.218107	0.857374	531.493	4002.35	335.358	1	1	350	4715.28	1	1	-1	1	14.0771	14.0771
1	-0.238811	0.864394	-0.238811	0.864394	320.154	4997.56	470.195	1	1	350	2716.76	1	1	-1	1	25.7705	25.7705
1	-0.292289	0.768664	-0.292289	0.768664	443.275	5624.05	343.386	1	1	350	3564.51	1	1	-1	1	8.78446	8.78446
1	-0.369819	0.857165	-0.369819	0.857165	375.748	5054.12	307.549	1	1	350	3812.02	1	1	-1	1	13.9808	13.9808
1	-0.121363	0.802593	-0.121363	0.802593	350.568	4266.88	512.795	1	1	350	2261.41	1	1	-1	1	-34.5488	-34.5488
1	-0.26177	0.898088	-0.26177	0.898088	393.484	2859.61	352.415	1	1	350	4420.08	1	1	-1	1	-12.1765	-12.1765
1	-0.164507	0.696334	-0.164507	0.696334	390.623	3376.91	405.571	1	1	350	2233.38	1	1	-1	1	-13.0305	-13.0305
1	-0.227379	0.763708	-0.227379	0.763708	495.113	3420.7	671.958	1	1	350	4794.83	1	1	-1	1	45.9188	45.9188
1	-0.260325	0.847438	-0.260325	0.847438	219.052	2444.6	463.77	1	1	350	3859.32	1	1	-1	1	15.5426	15.5426
1	-0.191722	0.795535	-0.191722	0.795535	293.656	3511.8	367.391	1	1	350	3848.51	1	1	-1	1	56.0954	56.0954
1	-0.136336	0.830345	-0.136336	0.830345	408.973	4912.02	335.161	1	1	350	5300.52	1	1	-1	1	67.272	67.272
1	-0.338733	0.809729	-0.338733	0.809729	391.183	4298.73	403.14	1	1	350	3799.92	1	1	-1	1	24.5638	24.5638
1	-0.105804	0.866715	-0.105804	0.866715	400.149	4157.02	407.471	1	1	350	5690.07	1	1	-1	1	9.48342	9.48342
1	-0.201601	0.741406	-0.201601	0.741406	461.335	2569.89	543.632	1	1	350	2766.8	1	1	-1	1	27.8838	27.8838
1	-0.259747	0.793154	-0.259747	0.793154	632.321	3770.04	378.65	1	1	350	2683.36	1	1	-1	1	18.8413	18.8413
1	-0.333364	0.810735	-0.333364	0.810735	258.38	2989.29	470.865	1	1	350	3853.7	1	1	-1	1	34.4432	34.4432
