Cas34952	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.755249	0.409091	-0.755249	0.409091	191.119	4400.17	581.636	1	1	350	4167.73	1	1	-1	1	11.6228	11.6228
1	-0.686012	0.425477	-0.686012	0.425477	316.341	3828.34	442.315	1	1	350	2822.31	1	1	-1	1	-2.64074	-2.64074
1	-0.764258	0.452105	-0.764258	0.452105	261.97	3653.33	414.785	1	1	350	3518.24	1	1	-1	1	-0.742951	-0.742951
1	-0.724246	0.446365	-0.724246	0.446365	414.179	5555.41	297.034	1	1	350	1619.01	1	1	-1	1	2.72025	2.72025
1	-0.762813	0.412993	-0.762813	0.412993	387.321	3541	244.746	1	1	350	2339.22	1	1	-1	1	-35.4385	-35.4385
1	-0.65212	0.520088	-0.65212	0.520088	362.024	3711.29	526.29	1	1	350	4380.86	1	1	-1	1	-22.5299	-22.5299
1	-0.689567	0.4445	-0.689567	0.4445	453.291	5062.21	604.724	1	1	350	4643.9	1	1	-1	1	-14.5799	-14.5799
1	-0.791756	0.417518	-0.791756	0.417518	318.507	4489.71	393.004	1	1	350	3299.01	1	1	-1	1	33.3786	33.3786
1	-0.675202	0.392648	-0.675202	0.392648	383.292	3426.36	98.1873	1	1	350	3181.07	1	1	-1	1	10.5047	10.5047
1	-0.72599	0.426925	-0.72599	0.426925	497.605	4721.19	462.879	1	1	350	4296.22	1	1	-1	1	19.635	19.635
1	-0.641002	0.383566	-0.641002	0.383566	492.213	5226.8	489.168	1	1	350	3950.41	1	1	-1	1	0.00494826	0.00494826
1	-0.664429	0.43962	-0.664429	0.43962	270.777	5422.6	291.595	1	1	350	3885.85	1	1	-1	1	7.07556	7.07556
1	-0.755852	0.378975	-0.755852	0.378975	468.753	3563.46	308.89	1	1	350	3095.77	1	1	-1	1	4.8017	4.8017
1	-0.744353	0.479715	-0.744353	0.479715	207.291	3356.94	367.481	1	1	350	2078.36	1	1	-1	1	-11.0657	-11.0657
1	-0.700713	0.485313	-0.700713	0.485313	537.66	3430.93	500.723	1	1	350	5314.99	1	1	-1	1	-26.6342	-26.6342
1	-0.71007	0.391734	-0.71007	0.391734	284.92	5655.64	495.207	1	1	350	4418.41	1	1	-1	1	-20.5659	-20.5659
1	-0.733972	0.496667	-0.733972	0.496667	295.87	1632	139.945	1	1	350	3413.38	1	1	-1	1	-17.8004	-17.8004
1	-0.766541	0.45814	-0.766541	0.45814	359.251	6252.06	341.472	1	1	350	4560.39	1	1	-1	1	-7.83458	-7.83458
1	-0.705111	0.417401	-0.705111	0.417401	283.861	5301.17	542.305	1	1	350	4163.66	1	1	-1	1	15.338	15.338
1	-0.651964	0.437533	-0.651964	0.437533	599.936	5209.53	234.309	1	1	350	3646.9	1	1	-1	1	-6.65187	-6.65187
1	-0.743303	0.410434	-0.743303	0.410434	469.458	4471.32	337.656	1	1	350	3935.03	1	1	-1	1	8.05913	8.05913
1	-0.708294	0.443295	-0.708294	0.443295	396.892	4432.06	418.505	1	1	350	6137.53	1	1	-1	1	19.3659	19.3659
1	-0.683932	0.509721	-0.683932	0.509721	369.846	3698.4	588.751	1	1	350	2565.65	1	1	-1	1	17.6986	17.6986
1	-0.704749	0.460597	-0.704749	0.460597	357.984	5269.65	463.728	1	1	350	5396.22	1	1	-1	1	35.8767	35.8767
1	-0.757809	0.465209	-0.757809	0.465209	651.21	1928.53	413.438	1	1	350	3860.52	1	1	-1	1	-20.2018	-20.2018
1	-0.719656	0.469164	-0.719656	0.469164	483.46	4829.95	361.552	1	1	350	2992.66	1	1	-1	1	-10.7741	-10.7741
1	-0.695802	0.517244	-0.695802	0.517244	377.904	3918.66	535.912	1	1	350	4891.8	1	1	-1	1	1.02722	1.02722
1	-0.727079	0.437512	-0.727079	0.437512	389.617	4283.06	291.934	1	1	350	4130.07	1	1	-1	1	-12.9608	-12.9608
1	-0.740028	0.469441	-0.740028	0.469441	430.108	5373.58	488.466	1	1	350	4475.9	1	1	-1	1	9.12105	9.12105
1	-0.733928	0.465581	-0.733928	0.465581	436.779	3009.51	370.762	1	1	350	3537.12	1	1	-1	1	-24.5814	-24.5814
1	-0.71852	0.451958	-0.71852	0.451958	588.753	3840.76	448.967	1	1	350	3669.02	1	1	-1	1	-16.0073	-16.0073
1	-0.737643	0.452596	-0.737643	0.452596	397.414	3305.12	266.302	1	1	350	4335.84	1	1	-1	1	8.55846	8.55846
1	-0.710474	0.504544	-0.710474	0.504544	516.34	5217.23	388.879	1	1	350	1966.42	1	1	-1	1	31.464	31.464
