Cas34952	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.755249	0.409091	-0.71875	0.495195	191.119	4400.17	581.636	1	1	350	4167.73	1	1	-1	1	11.6228	11.6228
1	-0.686012	0.425477	-0.648179	0.504254	316.341	3828.34	442.315	1	1	350	2822.31	1	1	-1	1	-2.64074	-2.64074
1	-0.764258	0.452105	-0.723213	0.538915	261.97	3653.33	414.785	1	1	350	3518.24	1	1	-1	1	-0.742951	-0.742951
1	-0.724246	0.446365	-0.684021	0.529024	414.179	5555.41	297.034	1	1	350	1619.01	1	1	-1	1	2.72025	2.72025
1	-0.762813	0.412993	-0.725865	0.499866	387.321	3541	244.746	1	1	350	2339.22	1	1	-1	1	-35.4385	-35.4385
1	-0.65212	0.520088	-0.604584	0.594804	362.024	3711.29	526.29	1	1	350	4380.86	1	1	-1	1	-22.5299	-22.5299
1	-0.689567	0.4445	-0.649727	0.523544	453.291	5062.21	604.724	1	1	350	4643.9	1	1	-1	1	-14.5799	-14.5799
1	-0.791756	0.417518	-0.754176	0.507392	318.507	4489.71	393.004	1	1	350	3299.01	1	1	-1	1	33.3786	33.3786
1	-0.675202	0.392648	-0.64086	0.470475	383.292	3426.36	98.1873	1	1	350	3181.07	1	1	-1	1	10.5047	10.5047
1	-0.72599	0.426925	-0.687787	0.509873	497.605	4721.19	462.879	1	1	350	4296.22	1	1	-1	1	19.635	19.635
1	-0.641002	0.383566	-0.607797	0.457868	492.213	5226.8	489.168	1	1	350	3950.41	1	1	-1	1	0.00494826	0.00494826
1	-0.664429	0.43962	-0.625236	0.516063	270.777	5422.6	291.595	1	1	350	3885.85	1	1	-1	1	7.07556	7.07556
1	-0.755852	0.378975	-0.722498	0.465307	468.753	3563.46	308.89	1	1	350	3095.77	1	1	-1	1	4.8017	4.8017
1	-0.744353	0.479715	-0.700531	0.564293	207.291	3356.94	367.481	1	1	350	2078.36	1	1	-1	1	-11.0657	-11.0657
1	-0.700713	0.485313	-0.656545	0.565299	537.66	3430.93	500.723	1	1	350	5314.99	1	1	-1	1	-26.6342	-26.6342
1	-0.71007	0.391734	-0.675633	0.473211	284.92	5655.64	495.207	1	1	350	4418.41	1	1	-1	1	-20.5659	-20.5659
1	-0.733972	0.496667	-0.688435	0.580067	295.87	1632	139.945	1	1	350	3413.38	1	1	-1	1	-17.8004	-17.8004
1	-0.766541	0.45814	-0.724853	0.545156	359.251	6252.06	341.472	1	1	350	4560.39	1	1	-1	1	-7.83458	-7.83458
1	-0.705111	0.417401	-0.668018	0.498219	283.861	5301.17	542.305	1	1	350	4163.66	1	1	-1	1	15.338	15.338
1	-0.651964	0.437533	-0.613058	0.512685	599.936	5209.53	234.309	1	1	350	3646.9	1	1	-1	1	-6.65187	-6.65187
1	-0.743303	0.410434	-0.706729	0.495282	469.458	4471.32	337.656	1	1	350	3935.03	1	1	-1	1	8.05913	8.05913
1	-0.708294	0.443295	-0.668477	0.524303	396.892	4432.06	418.505	1	1	350	6137.53	1	1	-1	1	19.3659	19.3659
1	-0.683932	0.509721	-0.637305	0.587819	369.846	3698.4	588.751	1	1	350	2565.65	1	1	-1	1	17.6986	17.6986
1	-0.704749	0.460597	-0.663143	0.54114	357.984	5269.65	463.728	1	1	350	5396.22	1	1	-1	1	35.8767	35.8767
1	-0.757809	0.465209	-0.71543	0.551273	651.21	1928.53	413.438	1	1	350	3860.52	1	1	-1	1	-20.2018	-20.2018
1	-0.719656	0.469164	-0.677073	0.551218	483.46	4829.95	361.552	1	1	350	2992.66	1	1	-1	1	-10.7741	-10.7741
1	-0.695802	0.517244	-0.648324	0.596542	377.904	3918.66	535.912	1	1	350	4891.8	1	1	-1	1	1.02722	1.02722
1	-0.727079	0.437512	-0.687764	0.520516	389.617	4283.06	291.934	1	1	350	4130.07	1	1	-1	1	-12.9608	-12.9608
1	-0.740028	0.469441	-0.697304	0.553623	430.108	5373.58	488.466	1	1	350	4475.9	1	1	-1	1	9.12105	9.12105
1	-0.733928	0.465581	-0.691641	0.549147	436.779	3009.51	370.762	1	1	350	3537.12	1	1	-1	1	-24.5814	-24.5814
1	-0.71852	0.451958	-0.677741	0.533988	588.753	3840.76	448.967	1	1	350	3669.02	1	1	-1	1	-16.0073	-16.0073
1	-0.737643	0.452596	-0.696693	0.536621	397.414	3305.12	266.302	1	1	350	4335.84	1	1	-1	1	8.55846	8.55846
1	-0.710474	0.504544	-0.664243	0.585445	516.34	5217.23	388.879	1	1	350	1966.42	1	1	-1	1	31.464	31.464
1	-0.731495	0.413613	-0.694653	0.497209	407.366	5726.72	440.625	1	1	350	3619.51	1	1	-1	1	-4.41713	-4.41713
1	-0.749425	0.4776	-0.705797	0.56272	600.84	5135.09	357.289	1	1	350	4499.45	1	1	-1	1	-22.5635	-22.5635
1	-0.751972	0.523281	-0.703555	0.608417	377.407	3243.63	325.154	1	1	350	4357.12	1	1	-1	1	5.94278	5.94278
1	-0.731213	0.466545	-0.68884	0.549822	417.603	3302.8	529.407	1	1	350	4840.23	1	1	-1	1	1.10533	1.10533
1	-0.717093	0.512076	-0.670038	0.593627	345.345	6026.33	386.339	1	1	350	4056.67	1	1	-1	1	13.2817	13.2817
1	-0.710102	0.43666	-0.670969	0.517894	335.698	3582.21	375.341	1	1	350	4402.31	1	1	-1	1	14.1199	14.1199
1	-0.658137	0.436649	-0.619289	0.512451	487.5	5419.06	464.17	1	1	350	4635.5	1	1	-1	1	-4.07956	-4.07956
1	-0.719827	0.505162	-0.67348	0.587037	343.138	4363.92	177.239	1	1	350	2298.13	1	1	-1	1	28.6219	28.6219
1	-0.743708	0.458375	-0.702121	0.543003	380.309	2646.08	396.75	1	1	350	4523.2	1	1	-1	1	-6.28788	-6.28788
1	-0.712144	0.570454	-0.659014	0.651168	296.643	2291.22	592.686	1	1	350	3580.7	1	1	-1	1	-1.82598	-1.82598
1	-0.690245	0.448122	-0.650022	0.527217	343.936	3538.4	481.921	1	1	350	3231.9	1	1	-1	1	-20.5433	-20.5433
1	-0.713789	0.505376	-0.667453	0.586619	612.213	4605.52	415.467	1	1	350	4476.71	1	1	-1	1	-10.1139	-10.1139
1	-0.74736	0.443282	-0.70733	0.528374	347.557	3865.33	443.155	1	1	350	4970.35	1	1	-1	1	-16.0342	-16.0342
1	-0.706783	0.502761	-0.660758	0.583286	503.608	3335.04	437.618	1	1	350	2920.43	1	1	-1	1	-39.2131	-39.2131
1	-0.764833	0.387166	-0.730573	0.474392	512.484	2101.52	356.863	1	1	350	2173.46	1	1	-1	1	7.50132	7.50132
1	-0.710695	0.496281	-0.665326	0.57725	405.251	4170.25	496.615	1	1	350	4226.71	1	1	-1	1	7.09912	7.09912
1	-0.679238	0.449702	-0.63891	0.527638	330.87	5512.6	552.476	1	1	350	2671.03	1	1	-1	1	1.69103	1.69103
